Time,gENSAE.delta,gENSAE.PELEC,gENSAE.PMECH,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.198,36.640797,0.4,0.4000000059604645,-4.700192e-10,1.0,0.99199355,1.0,0.9959842
0.2,36.640797,0.4,0.4000000059604645,-4.7254645e-10,1.0,0.99199355,1.0,0.9959842
0.202,36.640797,0.4,0.4000000059604645,-4.750179e-10,1.0,0.99199355,1.0,0.9959842
0.204,36.640797,0.4,0.4000000059604645,-4.774334e-10,1.0,0.99199355,1.0,0.9959842
0.206,36.640797,0.4,0.4000000059604645,-4.7979276e-10,1.0,0.99199355,1.0,0.9959842
0.208,36.640797,0.4,0.4000000059604645,-4.8209586e-10,1.0,0.99199355,1.0,0.9959842
0.21,36.640797,0.4,0.4000000059604645,-4.8434257e-10,1.0,0.99199355,1.0,0.9959842
0.212,36.640797,0.4,0.4000000059604645,-4.865327e-10,1.0,0.99199355,1.0,0.9959842
0.214,36.640797,0.4,0.4000000059604645,-4.8866616e-10,1.0,0.99199355,1.0,0.9959842
0.216,36.640797,0.4,0.4000000059604645,-4.9074284e-10,1.0,0.99199355,1.0,0.9959842
0.218,36.640797,0.4,0.4000000059604645,-4.9276255e-10,1.0,0.99199355,1.0,0.9959842
0.22,36.640797,0.4,0.4000000059604645,-4.947253e-10,1.0,0.99199355,1.0,0.9959842
0.222,36.640797,0.4,0.4000000059604645,-4.966309e-10,1.0,0.99199355,1.0,0.9959842
0.224,36.640797,0.4,0.4000000059604645,-4.9847926e-10,1.0,0.99199355,1.0,0.9959842
0.226,36.640797,0.4,0.4000000059604645,-5.002703e-10,1.0,0.99199355,1.0,0.9959842
0.228,36.640797,0.4,0.4000000059604645,-5.0200394e-10,1.0,0.99199355,1.0,0.9959842
0.23,36.640797,0.4,0.4000000059604645,-5.0368015e-10,1.0,0.99199355,1.0,0.9959842
0.232,36.640797,0.4,0.4000000059604645,-5.052988e-10,1.0,0.99199355,1.0,0.9959842
0.234,36.640797,0.4,0.4000000059604645,-5.0685983e-10,1.0,0.99199355,1.0,0.9959842
0.236,36.640797,0.4,0.4000000059604645,-5.083632e-10,1.0,0.99199355,1.0,0.9959842
0.238,36.640797,0.4,0.4000000059604645,-5.0980886e-10,1.0,0.99199355,1.0,0.9959842
0.24,36.640797,0.4,0.4000000059604645,-5.111968e-10,1.0,0.99199355,1.0,0.9959842
0.242,36.640797,0.4,0.4000000059604645,-5.125269e-10,1.0,0.99199355,1.0,0.9959842
0.244,36.640797,0.4,0.4000000059604645,-5.137992e-10,1.0,0.99199355,1.0,0.9959842
0.246,36.640797,0.4,0.4000000059604645,-5.150137e-10,1.0,0.99199355,1.0,0.9959842
0.248,36.640797,0.4,0.4000000059604645,-5.1617033e-10,1.0,0.99199355,1.0,0.9959842
0.25,36.640797,0.4,0.4000000059604645,-5.172691e-10,1.0,0.99199355,1.0,0.9959842
0.252,36.640797,0.4,0.4000000059604645,-5.1831e-10,1.0,0.99199355,1.0,0.9959842
0.254,36.640797,0.4,0.4000000059604645,-5.19293e-10,1.0,0.99199355,1.0,0.9959842
0.256,36.640797,0.4,0.4000000059604645,-5.202182e-10,1.0,0.99199355,1.0,0.9959842
0.258,36.640797,0.4,0.4000000059604645,-5.210855e-10,1.0,0.99199355,1.0,0.9959842
0.26,36.640797,0.4,0.4000000059604645,-5.218951e-10,1.0,0.99199355,1.0,0.9959842
0.262,36.640797,0.4,0.4000000059604645,-5.226468e-10,1.0,0.99199355,1.0,0.9959842
0.264,36.640797,0.4,0.4000000059604645,-5.233408e-10,1.0,0.99199355,1.0,0.9959842
0.266,36.640797,0.4,0.4000000059604645,-5.239771e-10,1.0,0.99199355,1.0,0.9959842
0.268,36.640797,0.4,0.4000000059604645,-5.2455573e-10,1.0,0.99199355,1.0,0.9959842
0.27,36.640797,0.4,0.4000000059604645,-5.2507676e-10,1.0,0.99199355,1.0,0.9959842
0.272,36.640797,0.4,0.4000000059604645,-5.255403e-10,1.0,0.99199355,1.0,0.9959842
0.274,36.640797,0.4,0.4000000059604645,-5.259463e-10,1.0,0.99199355,1.0,0.9959842
0.276,36.640797,0.4,0.4000000059604645,-5.2629495e-10,1.0,0.99199355,1.0,0.9959842
0.278,36.640797,0.4,0.4000000059604645,-5.265863e-10,1.0,0.99199355,1.0,0.9959842
0.28,36.640797,0.4,0.4000000059604645,-5.2682037e-10,1.0,0.99199355,1.0,0.9959842
0.282,36.640797,0.4,0.4000000059604645,-5.2699733e-10,1.0,0.99199355,1.0,0.9959842
0.284,36.640797,0.4,0.4000000059604645,-5.271173e-10,1.0,0.99199355,1.0,0.9959842
0.286,36.640797,0.4,0.4000000059604645,-5.271803e-10,1.0,0.99199355,1.0,0.9959842
0.288,36.640797,0.4,0.4000000059604645,-5.2718646e-10,1.0,0.99199355,1.0,0.9959842
0.29,36.640797,0.4,0.4000000059604645,-5.27136e-10,1.0,0.99199355,1.0,0.9959842
0.292,36.640793,0.4,0.4000000059604645,-5.270289e-10,1.0,0.99199355,1.0,0.9959842
0.294,36.640793,0.4,0.4000000059604645,-5.268654e-10,1.0,0.99199355,1.0,0.9959842
0.296,36.640793,0.4,0.4000000059604645,-5.2664556e-10,1.0,0.99199355,1.0,0.9959842
0.298,36.640793,0.4,0.4000000059604645,-5.2636956e-10,1.0,0.99199355,1.0,0.9959842
0.3,36.640793,0.4,0.4000000059604645,-5.260376e-10,1.0,0.99199355,1.0,0.9959842
0.302,36.640793,0.4,0.4000000059604645,-5.2564975e-10,1.0,0.99199355,1.0,0.9959842
0.304,36.640793,0.4,0.4000000059604645,-5.2520616e-10,1.0,0.99199355,1.0,0.9959842
0.306,36.640793,0.4,0.4000000059604645,-5.247071e-10,1.0,0.99199355,1.0,0.9959842
0.308,36.640793,0.4,0.4000000059604645,-5.2415267e-10,1.0,0.99199355,1.0,0.9959842
0.31,36.640793,0.4,0.4000000059604645,-5.2354304e-10,1.0,0.99199355,1.0,0.9959842
0.312,36.640793,0.4,0.4000000059604645,-5.228784e-10,1.0,0.99199355,1.0,0.9959842
0.314,36.640793,0.4,0.4000000059604645,-5.22159e-10,1.0,0.99199355,1.0,0.9959842
0.316,36.640793,0.4,0.4000000059604645,-5.2138494e-10,1.0,0.99199355,1.0,0.9959842
0.318,36.640793,0.4,0.4000000059604645,-5.205565e-10,1.0,0.99199355,1.0,0.9959842
