Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.36,0.3547546,0.4000048,-2.4605927e-07,0.39999938,1.0000018,0.99199617,1.0000031,0.99598706
0.362,0.35475445,0.4000048,-2.4719583e-07,0.39999938,1.0000018,0.99199617,1.0000031,0.99598706
0.364,0.3547543,0.4000048,-2.4832943e-07,0.39999938,1.0000018,0.99199617,1.0000031,0.99598706
0.366,0.35475415,0.40000477,-2.4946007e-07,0.39999938,1.0000018,0.99199617,1.0000031,0.995987
0.368,0.354754,0.40000477,-2.505878e-07,0.39999938,1.0000018,0.99199617,1.0000031,0.995987
0.37,0.35475385,0.40000474,-2.5171252e-07,0.39999938,1.0000018,0.99199617,1.0000031,0.995987
0.372,0.3547537,0.40000474,-2.528343e-07,0.39999938,1.0000018,0.99199617,1.0000031,0.995987
0.374,0.35475355,0.4000047,-2.5395312e-07,0.39999938,1.0000018,0.9919961,1.0000031,0.995987
0.376,0.3547534,0.4000047,-2.55069e-07,0.39999938,1.0000018,0.9919961,1.0000031,0.995987
0.378,0.35475323,0.40000468,-2.5618192e-07,0.39999938,1.0000018,0.9919961,1.000003,0.995987
0.38,0.35475308,0.40000468,-2.5729187e-07,0.39999938,1.0000018,0.9919961,1.000003,0.995987
0.382,0.35475293,0.40000468,-2.583989e-07,0.39999938,1.0000018,0.9919961,1.000003,0.995987
0.384,0.35475278,0.40000466,-2.5950294e-07,0.39999938,1.0000018,0.9919961,1.000003,0.995987
0.386,0.35475263,0.40000466,-2.6060405e-07,0.39999938,1.0000018,0.9919961,1.000003,0.99598694
0.388,0.35475248,0.40000463,-2.6170218e-07,0.39999938,1.0000018,0.9919961,1.000003,0.99598694
0.39,0.3547523,0.40000463,-2.6279739e-07,0.39999938,1.0000018,0.9919961,1.000003,0.99598694
0.392,0.35475215,0.4000046,-2.638896e-07,0.39999938,1.0000018,0.9919961,1.000003,0.99598694
0.394,0.354752,0.4000046,-2.649789e-07,0.39999938,1.0000018,0.99199605,1.000003,0.99598694
0.396,0.35475183,0.40000457,-2.660652e-07,0.39999938,1.0000018,0.99199605,1.000003,0.99598694
0.398,0.35475168,0.40000457,-2.6714858e-07,0.39999938,1.0000018,0.99199605,1.000003,0.99598694
0.4,0.35475153,0.40000454,-2.68229e-07,0.39999938,1.0000018,0.99199605,1.000003,0.99598694
0.402,0.35475135,0.40000454,-2.6930644e-07,0.39999938,1.0000018,0.99199605,1.000003,0.9959869
0.404,0.3547512,0.4000045,-2.7038095e-07,0.39999938,1.0000018,0.99199605,1.000003,0.9959869
0.406,0.35475102,0.4000045,-2.714525e-07,0.39999938,1.0000017,0.99199605,1.000003,0.9959869
0.408,0.35475087,0.40000448,-2.725211e-07,0.39999938,1.0000017,0.99199605,1.000003,0.9959869
0.41,0.3547507,0.40000448,-2.7358675e-07,0.39999938,1.0000017,0.99199605,1.0000029,0.9959869
0.412,0.35475054,0.40000445,-2.746494e-07,0.39999938,1.0000017,0.99199605,1.0000029,0.9959869
0.414,0.35475037,0.40000445,-2.7570914e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959869
0.416,0.35475022,0.40000442,-2.7676592e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959869
0.418,0.35475004,0.40000442,-2.7781974e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959869
0.42,0.3547499,0.4000044,-2.788706e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959868
0.422,0.3547497,0.4000044,-2.799185e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959868
0.424,0.35474953,0.40000436,-2.8096346e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959868
0.426,0.35474938,0.40000436,-2.820055e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959868
0.428,0.3547492,0.40000433,-2.8304453e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959868
0.43,0.35474902,0.40000433,-2.840806e-07,0.39999938,1.0000017,0.991996,1.0000029,0.9959868
0.432,0.35474887,0.4000043,-2.8511374e-07,0.39999938,1.0000017,0.99199593,1.0000029,0.9959868
0.434,0.3547487,0.4000043,-2.8614392e-07,0.39999938,1.0000017,0.99199593,1.0000029,0.9959868
0.436,0.35474852,0.40000427,-2.8717116e-07,0.39999938,1.0000017,0.99199593,1.0000029,0.99598676
0.438,0.35474834,0.40000427,-2.8819542e-07,0.39999938,1.0000017,0.99199593,1.0000029,0.99598676
