Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
9.068,16854.59,0.00050462346,0.24946694,0.3212201,0.14207548,5.8042913e-30,0.012824165,0.0064120824
9.07,16863.572,0.00050460716,0.24952687,0.32121304,0.1420732,1.6127023e-17,0.012824165,0.0064120824
9.072,16872.557,0.0005045909,0.24958682,0.32120594,0.1420709,1.6621738e-28,0.012824165,0.0064120824
9.074,16881.543,0.0005045747,0.24964677,0.32119888,0.14206862,3.0344763e-29,0.012824165,0.0064120824
9.076,16890.531,0.0005045585,0.2497067,0.32119182,0.14206634,5.5300333e-17,0.012824165,0.0064120824
9.078,16899.521,0.0005045423,0.24976662,0.32118475,0.14206406,4.3379098e-29,0.012824165,0.0064120824
9.08,16908.516,0.00050452614,0.24982655,0.3211777,0.14206178,2.2177774e-29,0.012824165,0.0064120824
9.082,16917.51,0.00050451,0.24988647,0.32117063,0.1420595,5.9518247e-29,0.012824165,0.0064120824
9.084,16926.508,0.0005044939,0.24994639,0.3211636,0.14205724,1.8088944e-17,0.012824165,0.0064120824
9.086,16935.506,0.00050447776,0.25000632,0.32115653,0.14205498,1.1752407e-17,0.012824165,0.0064120824
9.088,16944.506,0.0005044617,0.25006622,0.32114947,0.14205271,1.8474213e-28,0.012824165,0.0064120824
9.09,16953.51,0.00050444563,0.25012612,0.32114244,0.14205045,3.722093e-29,0.012824165,0.0064120824
9.092,16962.516,0.00050442957,0.25018603,0.32113537,0.1420482,3.8336205e-17,0.012824165,0.0064120824
9.094,16971.523,0.00050441356,0.25024593,0.32112834,0.14204593,7.448149e-29,0.012824165,0.0064120824
9.096,16980.533,0.00050439755,0.2503058,0.3211213,0.14204368,5.228891e-29,0.012824165,0.0064120824
9.098,16989.545,0.0005043816,0.2503657,0.32111427,0.14204143,2.980893e-29,0.012824165,0.0064120824
9.1,16998.56,0.00050436566,0.25042558,0.32110724,0.14203918,1.971694e-17,0.012824165,0.0064120824
9.102,17007.576,0.0005043497,0.25048545,0.32110018,0.14203694,7.488165e-29,0.012824165,0.0064120824
9.104,17016.596,0.0005043338,0.25054532,0.32109317,0.1420347,1.8148513e-17,0.012824165,0.0064120824
9.106,17025.615,0.0005043179,0.2506052,0.32108614,0.14203246,2.3039671e-29,0.012824165,0.0064120824
9.108,17034.639,0.00050430204,0.25066507,0.3210791,0.14203022,1.4134896e-29,0.012824165,0.0064120824
9.11,17043.664,0.0005042862,0.25072494,0.32107207,0.14202799,5.5262327e-29,0.012824165,0.0064120824
9.112,17052.691,0.00050427037,0.25078478,0.32106504,0.14202577,7.482669e-30,0.012824165,0.0064120824
9.114,17061.719,0.00050425454,0.25084466,0.32105803,0.14202353,3.7079228e-29,0.012824165,0.0064120824
9.116,17070.752,0.00050423876,0.2509045,0.321051,0.14202131,6.775344e-18,0.012824165,0.0064120824
9.118,17079.785,0.000504223,0.25096434,0.321044,0.1420191,1.726464e-30,0.012824165,0.0064120824
9.12,17088.822,0.0005042072,0.2510242,0.321037,0.14201687,1.1010085e-30,0.012824165,0.0064120824
9.122,17097.86,0.0005041915,0.25108403,0.32102996,0.14201467,1.7360716e-31,0.012824165,0.0064120824
9.124,17106.9,0.00050417584,0.25114387,0.32102296,0.14201246,5.889679e-31,0.012824165,0.0064120824
9.126,17115.941,0.00050416024,0.2512037,0.32101595,0.14201026,1.046375e-30,0.012824165,0.0064120824
9.128,17124.986,0.0005041446,0.2512635,0.32100895,0.14200805,2.8088372e-30,0.012824165,0.0064120824
9.13,17134.033,0.000504129,0.25132334,0.32100195,0.14200586,1.3687005e-30,0.012824165,0.0064120824
9.132,17143.082,0.00050411344,0.25138316,0.32099494,0.14200367,4.605277e-30,0.012824165,0.0064120824
9.134,17152.133,0.00050409784,0.25144297,0.32098797,0.14200148,5.222912e-29,0.012824165,0.0064120824
9.136,17161.184,0.0005040823,0.25150278,0.32098097,0.14199929,3.9335103e-29,0.012824165,0.0064120824
9.138,17170.24,0.0005040668,0.25156257,0.32097396,0.1419971,1.5982188e-17,0.012824165,0.0064120824
9.14,17179.297,0.0005040513,0.25162238,0.320967,0.14199492,2.6239447e-29,0.012824165,0.0064120824
9.142,17188.355,0.00050403585,0.25168216,0.32096,0.14199273,6.999365e-29,0.012824165,0.0064120824
