Time,gENCLS2.delta,gENCLS2.P,gENCLS2.omega,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.874,-3.6357697610087962,0.09496794452916658,0.0004150347894039097,1.0034945058909994,0.993256488525651,0.9994075468024737,0.9961241665557071
2.876,-3.6199137986347125,0.09536562232525556,0.00046584096267350875,1.0034959966155244,0.9932620645043496,0.9994143440911444,0.9961307620266162
2.878,-3.602230052918816,0.09580914687903007,0.0005165770348882469,1.0034976407247282,0.9932682611194681,0.999421906432591,0.9961380969893834
2.88,-3.5827211849758185,0.09629845295600796,0.0005672353702640899,1.0034994319403832,0.9932750702079595,0.99943022664458,0.9961461635456591
2.882,-3.5613901306061746,0.09683346855910023,0.0006178083444530415,1.0035013633496872,0.99328248278047,0.9994392968171552,0.9961549529971516
2.884,-3.538240099864132,0.09741411493077029,0.0006682883456699773,1.0035034274102472,0.9932904890274565,0.9994491083178132,0.9961644558514187
2.886,-3.5132745765851516,0.0980403065554627,0.000718667775819278,1.0035056159555182,0.9932990783258638,0.9994596517971569,0.9961746618281913
2.888,-3.4864973178728556,0.09871195116231614,0.000768939051620854,1.0035079202006953,0.9933082392463601,0.9994709171950167,0.9961855598662248
2.89,-3.45791235354536,0.09942894972818421,0.0008190946057358716,1.003510330749057,0.9933179595611228,0.9994828937470419,0.9961971381306721
2.892,-3.427523985541186,0.10019119648097767,0.0008691268878917714,1.0035128375987543,0.9933282262521741,0.9994955699917549,0.9962093840209765
2.894,-3.3953367872845757,0.10099857890335678,0.0009190283660068775,1.0035154301500409,0.9933390255202558,0.9995089337780647,0.9962222841792772
2.896,-3.361355603010447,0.10185097773678906,0.0009687915273141848,1.0035180972129425,0.993350342794245,0.9995229722732354,0.9962358244993248
2.898,-3.325585547048786,0.10274826698600367,0.0010184088794846144,1.0035208270153588,0.9933621627410977,0.9995376719713064,0.9962499901358995
2.9,-3.288032003068738,0.10369031392386019,0.0010678729517493144,1.0035236072115945,0.9933744692763221,0.9995530187019573,0.9962647655147289
2.902,-3.2487006232821845,0.1046769790966652,0.0011171762960212905,1.003526424891313,0.9933872455749676,0.9995689976398133,0.9962801343428955
