Time,wT4G1.P,wT4G1.Q,GEN1.V,FAULT.V,GEN2.V
0.963333, 0.015, -0.0566568, 1, 1.0001, 1
0.968333, 0.015, -0.0566568, 1, 1.0001, 1
0.973333, 0.015, -0.0566568, 1, 1.0001, 1
0.978333, 0.015, -0.0566568, 1, 1.0001, 1
0.983333, 0.015, -0.0566568, 1, 1.0001, 1
0.988333, 0.015, -0.0566568, 1, 1.0001, 1
0.993333, 0.015, -0.0566568, 1, 1.0001, 1
0.998333, 0.015, -0.0566568, 1, 1.0001, 1
1.00333, 0.015, -0.0566568, 1, 1.0001, 1
1.00833, 0.015, -0.0566568, 1, 1.0001, 1
1.01333, 0.015, -0.0566568, 1, 1.0001, 1
1.01833, 0.015, -0.0566568, 1, 1.0001, 1
1.02333, 0.015, -0.0566568, 1, 1.0001, 1
1.02833, 0.015, -0.0566568, 1, 1.0001, 1
1.03333, 0.015, -0.0566568, 1, 1.0001, 1
1.03833, 0.015, -0.0566568, 1, 1.0001, 1
1.04333, 0.015, -0.0566568, 1, 1.0001, 1
1.04833, 0.015, -0.0566568, 1, 1.0001, 1
1.05333, 0.015, -0.0566568, 1, 1.0001, 1
1.05833, 0.015, -0.0566568, 1, 1.0001, 1
1.06333, 0.015, -0.0566568, 1, 1.0001, 1
1.06833, 0.015, -0.0566568, 1, 1.0001, 1
1.07333, 0.015, -0.0566568, 1, 1.0001, 1
1.07833, 0.015, -0.0566568, 1, 1.0001, 1
1.08333, 0.015, -0.0566568, 1, 1.0001, 1
1.08833, 0.015, -0.0566568, 1, 1.0001, 1
1.09333, 0.015, -0.0566568, 1, 1.0001, 1
1.09833, 0.015, -0.0566568, 1, 1.0001, 1
1.10333, 0.015, -0.0566568, 1, 1.0001, 1
1.10833, 0.015, -0.0566568, 1, 1.0001, 1
1.11333, 0.015, -0.0566568, 1, 1.0001, 1
1.11833, 0.015, -0.0566568, 1, 1.0001, 1
1.12333, 0.015, -0.0566568, 1, 1.0001, 1
1.12833, 0.015, -0.0566568, 1, 1.0001, 1
1.13333, 0.015, -0.0566568, 1, 1.0001, 1
1.13833, 0.015, -0.0566568, 1, 1.0001, 1
1.14333, 0.015, -0.0566568, 1, 1.0001, 1
1.14833, 0.015, -0.0566568, 1, 1.0001, 1
1.15333, 0.015, -0.0566568, 1, 1.0001, 1
1.15833, 0.015, -0.0566568, 1, 1.0001, 1
1.16333, 0.015, -0.0566568, 1, 1.0001, 1
1.16833, 0.015, -0.0566568, 1, 1.0001, 1
1.17333, 0.015, -0.0566568, 1, 1.0001, 1
1.17833, 0.015, -0.0566568, 1, 1.0001, 1
1.18333, 0.015, -0.0566568, 1, 1.0001, 1
1.18833, 0.015, -0.0566568, 1, 1.0001, 1
1.19333, 0.015, -0.0566568, 1, 1.0001, 1
1.19833, 0.015, -0.0566568, 1, 1.0001, 1
1.20333, 0.015, -0.0566568, 1, 1.0001, 1
1.20833, 0.015, -0.0566568, 1, 1.0001, 1
1.21333, 0.015, -0.0566568, 1, 1.0001, 1
1.21833, 0.015, -0.0566568, 1, 1.0001, 1
1.22333, 0.015, -0.0566568, 1, 1.0001, 1
1.22833, 0.015, -0.0566568, 1, 1.0001, 1
1.23333, 0.015, -0.0566568, 1, 1.0001, 1
1.23833, 0.015, -0.0566568, 1, 1.0001, 1
1.24333, 0.015, -0.0566568, 1, 1.0001, 1
1.24833, 0.015, -0.0566568, 1, 1.0001, 1
1.25333, 0.015, -0.0566568, 1, 1.0001, 1
1.25833, 0.015, -0.0566568, 1, 1.0001, 1
1.26333, 0.015, -0.0566568, 1, 1.0001, 1
1.26833, 0.015, -0.0566568, 1, 1.0001, 1
1.27333, 0.015, -0.0566568, 1, 1.0001, 1
1.27833, 0.015, -0.0566568, 1, 1.0001, 1
1.28333, 0.015, -0.0566568, 1, 1.0001, 1
1.28833, 0.015, -0.0566568, 1, 1.0001, 1
1.29333, 0.015, -0.0566568, 1, 1.0001, 1
1.29833, 0.015, -0.0566568, 1, 1.0001, 1
1.30333, 0.015, -0.0566568, 1, 1.0001, 1
1.30833, 0.015, -0.0566568, 1, 1.0001, 1
1.31333, 0.015, -0.0566568, 1, 1.0001, 1
1.31833, 0.015, -0.0566568, 1, 1.0001, 1
1.32333, 0.015, -0.0566568, 1, 1.0001, 1
1.32833, 0.015, -0.0566568, 1, 1.0001, 1
1.33333, 0.015, -0.0566568, 1, 1.0001, 1
1.33833, 0.015, -0.0566568, 1, 1.0001, 1
1.34333, 0.015, -0.0566568, 1, 1.0001, 1
1.34833, 0.015, -0.0566568, 1, 1.0001, 1
1.35333, 0.015, -0.0566568, 1, 1.0001, 1
1.35833, 0.015, -0.0566568, 1, 1.0001, 1
1.36333, 0.015, -0.0566568, 1, 1.0001, 1
1.36833, 0.015, -0.0566568, 1, 1.0001, 1
1.37333, 0.015, -0.0566568, 1, 1.0001, 1
1.37833, 0.015, -0.0566568, 1, 1.0001, 1
1.38333, 0.015, -0.0566568, 1, 1.0001, 1
1.38833, 0.015, -0.0566568, 1, 1.0001, 1
1.39333, 0.015, -0.0566568, 1, 1.0001, 1
1.39833, 0.015, -0.0566568, 1, 1.0001, 1
1.40333, 0.015, -0.0566568, 1, 1.0001, 1
1.40833, 0.015, -0.0566568, 1, 1.0001, 1
1.41333, 0.015, -0.0566568, 1, 1.0001, 1
1.41833, 0.015, -0.0566568, 1, 1.0001, 1
1.42333, 0.015, -0.0566568, 1, 1.0001, 1
1.42833, 0.015, -0.0566568, 1, 1.0001, 1
1.43333, 0.015, -0.0566568, 1, 1.0001, 1
1.43833, 0.015, -0.0566568, 1, 1.0001, 1
1.44333, 0.015, -0.0566568, 1, 1.0001, 1
1.44833, 0.015, -0.0566568, 1, 1.0001, 1
1.45333, 0.015, -0.0566568, 1, 1.0001, 1
1.45833, 0.015, -0.0566568, 1, 1.0001, 1
1.46333, 0.015, -0.0566568, 1, 1.0001, 1
1.46833, 0.015, -0.0566568, 1, 1.0001, 1
1.47333, 0.015, -0.0566568, 1, 1.0001, 1
1.47833, 0.015, -0.0566568, 1, 1.0001, 1
1.48333, 0.015, -0.0566568, 1, 1.0001, 1
1.48833, 0.015, -0.0566568, 1, 1.0001, 1
1.49333, 0.015, -0.0566568, 1, 1.0001, 1
1.49833, 0.015, -0.0566568, 1, 1.0001, 1
1.50333, 0.015, -0.0566568, 1, 1.0001, 1
1.50833, 0.015, -0.0566568, 1, 1.0001, 1
1.51333, 0.015, -0.0566568, 1, 1.0001, 1
1.51833, 0.015, -0.0566568, 1, 1.0001, 1
1.52333, 0.015, -0.0566568, 1, 1.0001, 1
1.52833, 0.015, -0.0566568, 1, 1.0001, 1
1.53333, 0.015, -0.0566568, 1, 1.0001, 1
1.53833, 0.015, -0.0566568, 1, 1.0001, 1
1.54333, 0.015, -0.0566568, 1, 1.0001, 1
1.54833, 0.015, -0.0566568, 1, 1.0001, 1
1.55333, 0.015, -0.0566568, 1, 1.0001, 1
1.55833, 0.015, -0.0566568, 1, 1.0001, 1
1.56333, 0.015, -0.0566568, 1, 1.0001, 1
1.56833, 0.015, -0.0566568, 1, 1.0001, 1
1.57333, 0.015, -0.0566568, 1, 1.0001, 1
1.57833, 0.015, -0.0566568, 1, 1.0001, 1
1.58333, 0.015, -0.0566568, 1, 1.0001, 1
