Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
8.898,18186.092,6.7011395e-05,0.28154078,0.30992338,0.051773768,9.923141e-18,0.012824165,0.0064120824
8.9,18196.229,6.693921e-05,0.2816137,0.3097564,0.051745873,6.965883e-18,0.012824165,0.0064120824
8.902,18206.367,6.68671e-05,0.2816866,0.3095895,0.051717993,9.978991e-18,0.012824165,0.0064120824
8.904,18216.51,6.679506e-05,0.2817595,0.3094227,0.051690128,4.0756945e-29,0.012824165,0.0064120824
8.906,18226.656,6.67231e-05,0.2818324,0.309256,0.051662277,5.60775e-29,0.012824165,0.0064120824
8.908,18236.803,6.665122e-05,0.2819053,0.30908933,0.05163444,9.911177e-18,0.012824165,0.0064120824
8.91,18246.953,6.6579414e-05,0.28197816,0.3089228,0.051606618,4.15629e-18,0.012824165,0.0064120824
8.912,18257.104,6.650768e-05,0.28205106,0.30875635,0.051578812,1.8967733e-17,0.012824165,0.0064120824
8.914,18267.26,6.6436034e-05,0.28212392,0.30859,0.05155102,9.352544e-18,0.012824165,0.0064120824
8.916,18277.418,6.636445e-05,0.28219682,0.3084237,0.051523242,5.932035e-29,0.012824165,0.0064120824
8.918,18287.58,6.629295e-05,0.2822697,0.30825752,0.05149548,1.0594195e-28,0.012824165,0.0064120824
8.92,18297.742,6.622153e-05,0.28234255,0.3080914,0.05146773,1.3745784e-17,0.012824165,0.0064120824
8.922,18307.908,6.615018e-05,0.28241542,0.3079254,0.05144,1.9060734e-17,0.012824165,0.0064120824
8.924,18318.076,6.6078916e-05,0.28248826,0.30775946,0.05141228,1.916275e-30,0.012824165,0.0064120824
8.926,18328.246,6.600771e-05,0.28256112,0.30759364,0.051384576,1.0917361e-28,0.012824165,0.0064120824
8.928,18338.422,6.59366e-05,0.28263396,0.30742788,0.051356886,1.1704915e-17,0.012824165,0.0064120824
8.93,18348.596,6.5865555e-05,0.28270683,0.3072622,0.05132921,2.1871953e-28,0.012824165,0.0064120824
8.932,18358.775,6.5794586e-05,0.28277966,0.30709663,0.05130155,1.269468e-28,0.012824165,0.0064120824
8.934,18368.957,6.572369e-05,0.2828525,0.30693114,0.051273905,1.0199198e-29,0.012824165,0.0064120824
