Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,iEEET2.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.304,34.403698,0.4,-3.3359857e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.306,34.403698,0.4,-3.3204892e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.308,34.403698,0.4,-3.304993e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.31,34.403698,0.4,-3.2894967e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.312,34.403698,0.4,-3.2740005e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.314,34.403698,0.4,-3.2585043e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.316,34.403698,0.4,-3.243008e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.318,34.403698,0.4,-3.2275116e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.32,34.403698,0.4,-3.2120154e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.322,34.403698,0.4,-3.1965192e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.324,34.403698,0.4,-3.181023e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.326,34.403698,0.4,-3.1655267e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.328,34.403698,0.4,-3.1500302e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.33,34.403698,0.4,-3.134534e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.332,34.403698,0.4,-3.1190378e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.334,34.403698,0.4,-3.1035416e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.336,34.403698,0.4,-3.0880454e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.338,34.403698,0.4,-3.0725492e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.34,34.403698,0.4,-3.0570527e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.342,34.403698,0.4,-3.0415565e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.344,34.403698,0.4,-3.0260602e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.346,34.403698,0.4,-3.010564e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.348,34.403698,0.4,-2.9950678e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.35,34.403698,0.4,-2.9795716e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
0.352,34.403698,0.4,-2.964075e-10,1.4314197,1.0,0.99199355,1.0,0.9959842
