Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.218,0.5992455,0.40000004,-1.158403e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.22,0.5992455,0.40000004,-1.1683436e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.222,0.5992455,0.40000004,-1.1782706e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.224,0.5992455,0.40000004,-1.1881838e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.226,0.5992454,0.40000004,-1.1980832e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.228,0.5992454,0.40000004,-1.207969e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.23,0.5992454,0.40000004,-1.2178408e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.232,0.5992454,0.40000004,-1.227699e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.234,0.5992454,0.40000004,-1.2375435e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.236,0.5992454,0.40000004,-1.2473742e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.238,0.5992454,0.40000004,-1.2571911e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.24,0.5992454,0.40000004,-1.2669943e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.242,0.5992454,0.40000004,-1.2767838e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.244,0.5992454,0.40000004,-1.2865594e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.246,0.5992454,0.40000004,-1.2963214e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.248,0.5992454,0.40000004,-1.3060696e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.25,0.5992454,0.40000004,-1.3158041e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.252,0.5992454,0.40000004,-1.3255248e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.254,0.5992454,0.40000004,-1.3352318e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.256,0.5992454,0.40000004,-1.344925e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.258,0.5992454,0.40000004,-1.3546044e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.26,0.5992454,0.40000004,-1.3642701e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.262,0.5992454,0.40000004,-1.3739222e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.264,0.5992454,0.40000004,-1.3832852e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.266,0.5992454,0.40000004,-1.3926047e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.268,0.5992454,0.40000004,-1.4019016e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.27,0.5992454,0.40000004,-1.4111758e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.272,0.5992454,0.40000004,-1.4204274e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.274,0.5992454,0.40000004,-1.4296564e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.276,0.5992454,0.40000004,-1.4388626e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.278,0.5992454,0.40000004,-1.4480462e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.28,0.5992454,0.40000004,-1.4572071e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.282,0.5992454,0.40000004,-1.4663454e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.284,0.5992454,0.40000004,-1.475461e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.286,0.5992454,0.40000004,-1.4845539e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.288,0.5992454,0.40000004,-1.4936242e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.29,0.5992454,0.40000004,-1.5026719e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.292,0.5992454,0.40000004,-1.5116968e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.294,0.5992454,0.40000004,-1.520699e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.296,0.5992454,0.40000004,-1.5296787e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.298,0.5992454,0.40000004,-1.5386357e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.3,0.5992454,0.40000004,-1.54757e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.302,0.5992454,0.40000004,-1.5564815e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.304,0.5992454,0.40000004,-1.5653705e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.306,0.5992454,0.40000004,-1.5742369e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.308,0.5992454,0.40000004,-1.5830804e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.31,0.5992454,0.40000004,-1.5919014e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.312,0.5992454,0.40000004,-1.6006997e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.314,0.5992454,0.40000004,-1.6094753e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.316,0.5992454,0.40000004,-1.6182283e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.318,0.5992454,0.40000004,-1.6269587e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.32,0.5992454,0.40000004,-1.6356664e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.322,0.5992454,0.40000004,-1.6443513e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.324,0.5992454,0.40000004,-1.6530136e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.326,0.5992454,0.40000004,-1.6616533e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.328,0.5992454,0.40000004,-1.6702704e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.33,0.5992454,0.40000004,-1.6788646e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.332,0.5992454,0.40000004,-1.6874363e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.334,0.5992454,0.40000004,-1.6959854e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.336,0.5992454,0.40000004,-1.7045116e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.338,0.5992454,0.40000004,-1.7130154e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.34,0.5992454,0.40000004,-1.7214964e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.342,0.5992454,0.40000004,-1.7299547e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.344,0.5992454,0.40000004,-1.7383904e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.346,0.5992454,0.40000004,-1.7468035e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.348,0.5992454,0.40000004,-1.7551938e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
