Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eXAC1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.214,34.403698,0.40000004,-1.0633779e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.216,34.403698,0.40000004,-1.0726897e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.218,34.403698,0.40000004,-1.0819886e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.22,34.403698,0.40000004,-1.0912747e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.222,34.403698,0.40000004,-1.100548e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.224,34.403698,0.40000004,-1.1098085e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.226,34.403698,0.40000004,-1.1190562e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.228,34.403698,0.40000004,-1.128291e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.23,34.403698,0.40000004,-1.1375131e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.232,34.403698,0.40000004,-1.1467223e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.234,34.403698,0.40000004,-1.1559187e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.236,34.403698,0.40000004,-1.1651022e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.238,34.403698,0.40000004,-1.174273e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.24,34.403698,0.40000004,-1.183431e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.242,34.403698,0.40000004,-1.1925761e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.244,34.403698,0.40000004,-1.2017085e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.246,34.403698,0.40000004,-1.210828e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.248,34.403698,0.40000004,-1.2199347e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.25,34.403698,0.40000004,-1.2290287e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.252,34.403698,0.40000004,-1.2381097e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.254,34.403698,0.40000004,-1.247178e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.256,34.403698,0.40000004,-1.2562335e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.258,34.403698,0.40000004,-1.2652761e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.26,34.403698,0.40000004,-1.274306e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.262,34.403698,0.40000004,-1.283323e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.264,34.403698,0.40000004,-1.2920712e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.266,34.403698,0.40000004,-1.300779e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.268,34.403698,0.40000004,-1.3094658e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.27,34.403698,0.40000004,-1.3181314e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.272,34.403698,0.40000004,-1.3267758e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.274,34.403698,0.40000004,-1.3353992e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.276,34.403698,0.40000004,-1.3440016e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.278,34.403698,0.40000004,-1.3525827e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.28,34.403698,0.40000004,-1.3611428e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.282,34.403698,0.40000004,-1.3696818e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.284,34.403698,0.40000004,-1.3781997e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.286,34.403698,0.40000004,-1.3866964e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.288,34.403698,0.40000004,-1.3951721e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.29,34.403698,0.40000004,-1.4036267e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.292,34.403698,0.40000004,-1.41206e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.294,34.403698,0.40000004,-1.4204724e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.296,34.403698,0.40000004,-1.4288637e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.298,34.403698,0.40000004,-1.4372338e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.3,34.403698,0.40000004,-1.4455828e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.302,34.403698,0.40000004,-1.4539108e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.304,34.403698,0.40000004,-1.4622176e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.306,34.403698,0.40000004,-1.4705033e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.308,34.403698,0.40000004,-1.4787679e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.31,34.403698,0.40000004,-1.4870113e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.312,34.403698,0.40000004,-1.4952337e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.314,34.403698,0.40000004,-1.503435e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.316,34.403698,0.40000004,-1.5116152e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.318,34.403698,0.40000004,-1.5197743e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.32,34.403698,0.40000004,-1.5279122e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.322,34.403698,0.40000004,-1.5360291e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.324,34.403698,0.40000004,-1.5441248e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.326,34.403694,0.40000004,-1.5521995e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.328,34.403694,0.40000004,-1.560253e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.33,34.403694,0.40000004,-1.5682855e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.332,34.403694,0.40000004,-1.5762968e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.334,34.403694,0.40000004,-1.584287e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.336,34.403694,0.40000004,-1.5922561e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.338,34.403694,0.40000004,-1.6002042e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.34,34.403694,0.40000004,-1.6081311e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.342,34.403694,0.40000004,-1.6160369e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.344,34.403694,0.40000004,-1.6239216e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.346,34.403694,0.40000004,-1.6317852e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.348,34.403694,0.40000004,-1.6396277e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.35,34.403694,0.40000004,-1.6474491e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.352,34.403694,0.40000004,-1.6552493e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.354,34.403694,0.40000004,-1.6630285e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.356,34.403694,0.40000004,-1.6707865e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.358,34.403694,0.40000004,-1.6785234e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.36,34.403694,0.40000004,-1.6862394e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.362,34.403694,0.40000004,-1.6939341e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.364,34.403694,0.40000004,-1.7016077e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.366,34.403694,0.40000004,-1.7092602e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.368,34.403694,0.40000004,-1.7168916e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.37,34.403694,0.40000004,-1.724502e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.372,34.403694,0.40000004,-1.7320911e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.374,34.403694,0.40000004,-1.7396593e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.376,34.403694,0.40000004,-1.7472063e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.378,34.403694,0.40000004,-1.7547321e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.38,34.403694,0.40000004,-1.762237e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.382,34.403694,0.40000004,-1.7697207e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.384,34.403694,0.40000004,-1.7771833e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.386,34.403694,0.40000004,-1.7846247e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.388,34.403694,0.40000004,-1.7920451e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.39,34.403694,0.40000004,-1.7994444e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.392,34.403694,0.40000004,-1.8068225e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.394,34.403694,0.40000004,-1.8141796e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.396,34.403694,0.40000004,-1.8215155e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.398,34.403694,0.40000004,-1.8288303e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.4,34.403694,0.40000004,-1.836124e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.402,34.403694,0.40000004,-1.8433967e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.404,34.403694,0.40000004,-1.8506482e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.406,34.403694,0.40000004,-1.8578786e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.408,34.403694,0.40000004,-1.8650879e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.41,34.403694,0.40000004,-1.8722761e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.412,34.403694,0.40000004,-1.8794433e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.414,34.403694,0.40000004,-1.8865893e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.416,34.403694,0.40000004,-1.893714e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.418,34.403694,0.40000004,-1.900818e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.42,34.403694,0.40000004,-1.9079005e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.422,34.403694,0.40000004,-1.9149622e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.424,34.403694,0.40000004,-1.9220026e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
