Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.322,0.5992454,0.40000004,-1.6432304e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.324,0.5992454,0.40000004,-1.6518679e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.326,0.5992454,0.40000004,-1.6604822e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.328,0.5992454,0.40000004,-1.6690737e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.33,0.5992454,0.40000004,-1.6776422e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.332,0.5992454,0.40000004,-1.6861879e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.334,0.5992454,0.40000004,-1.6947105e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.336,0.5992454,0.40000004,-1.7032101e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.338,0.5992454,0.40000004,-1.7116869e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.34,0.5992454,0.40000004,-1.7201408e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.342,0.5992454,0.40000004,-1.7285716e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.344,0.5992454,0.40000004,-1.7369796e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.346,0.5992454,0.40000004,-1.7453645e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.348,0.5992454,0.40000004,-1.7537266e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.35,0.5992454,0.40000004,-1.7620657e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.352,0.5992454,0.40000004,-1.7703818e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.354,0.5992454,0.40000004,-1.778675e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.356,0.5992454,0.40000004,-1.7869453e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.358,0.59924537,0.40000004,-1.7951927e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.36,0.59924537,0.40000004,-1.803417e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.362,0.59924537,0.40000004,-1.8116184e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.364,0.59924537,0.40000004,-1.8197969e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.366,0.59924537,0.40000004,-1.8279525e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.368,0.59924537,0.40000004,-1.8360851e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.37,0.59924537,0.40000004,-1.8441947e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.372,0.59924537,0.40000004,-1.8522814e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.374,0.59924537,0.40000004,-1.8603452e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.376,0.59924537,0.40000004,-1.8683861e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.378,0.59924537,0.40000004,-1.876404e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.38,0.59924537,0.40000004,-1.8843989e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.382,0.59924537,0.40000004,-1.892371e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.384,0.59924537,0.40000004,-1.90032e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.386,0.59924537,0.40000004,-1.908246e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.388,0.59924537,0.40000004,-1.9161492e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.39,0.59924537,0.40000004,-1.9240294e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.392,0.59924537,0.40000004,-1.9318867e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.394,0.59924537,0.40000004,-1.939721e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.396,0.59924537,0.40000004,-1.9475324e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.398,0.59924537,0.40000004,-1.9553208e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.4,0.59924537,0.40000004,-1.9630864e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.402,0.59924537,0.40000004,-1.9708288e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.404,0.59924537,0.40000004,-1.9785484e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.406,0.59924537,0.40000004,-1.9862452e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.408,0.59924537,0.40000004,-1.993919e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.41,0.59924537,0.40000004,-2.0015698e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.412,0.59924537,0.40000004,-2.0091975e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.414,0.59924537,0.40000004,-2.0168025e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.416,0.59924537,0.40000004,-2.0243844e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.418,0.59924537,0.40000004,-2.0319435e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.42,0.59924537,0.40000004,-2.0394795e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.422,0.59924537,0.40000004,-2.0469926e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.424,0.59924537,0.40000004,-2.0544828e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.426,0.59924537,0.40000004,-2.06195e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
