Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,eSDC1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.192,0.6004578,0.40000004,-9.598038e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.194,0.6004578,0.40000004,-9.692437e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.196,0.6004578,0.40000004,-9.786706e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.198,0.6004578,0.40000004,-9.880844e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.2,0.6004578,0.40000004,-9.974852e-10,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.202,0.6004578,0.40000004,-1.0068728e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.204,0.6004578,0.40000004,-1.0162474e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.206,0.6004578,0.40000004,-1.025609e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.208,0.6004578,0.40000004,-1.0349576e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.21,0.6004578,0.40000004,-1.044293e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.212,0.6004578,0.40000004,-1.0536153e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.214,0.6004578,0.40000004,-1.0629246e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.216,0.6004578,0.40000004,-1.0722209e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.99598414
0.218,0.6004578,0.40000004,-1.0815041e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.22,0.6004578,0.40000004,-1.0907741e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.222,0.6004578,0.40000004,-1.1000313e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.224,0.6004578,0.40000004,-1.1092752e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.226,0.6004578,0.40000004,-1.1185062e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.228,0.6004578,0.40000004,-1.127724e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.23,0.6004578,0.40000004,-1.1369288e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.232,0.6004578,0.40000004,-1.1461205e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.234,0.6004578,0.40000004,-1.1552992e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.236,0.6004578,0.40000004,-1.1644649e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.238,0.6004578,0.40000004,-1.1736174e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.24,0.6004578,0.40000004,-1.1827569e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.242,0.6004578,0.40000004,-1.1918833e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.244,0.6004578,0.40000004,-1.2009966e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.246,0.6004578,0.40000004,-1.2100969e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.248,0.6004578,0.40000004,-1.2191842e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.25,0.6004578,0.40000004,-1.2282584e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.252,0.6004578,0.40000004,-1.2373195e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.254,0.6004578,0.40000004,-1.2463675e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.256,0.6004578,0.40000004,-1.2554024e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.258,0.6004578,0.40000004,-1.2644243e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.26,0.6004578,0.40000004,-1.2734332e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.262,0.6004578,0.40000004,-1.282429e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.264,0.6004578,0.40000004,-1.2911374e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.266,0.6004578,0.40000004,-1.2998032e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.268,0.6004578,0.40000004,-1.3084469e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.27,0.6004578,0.40000004,-1.3170688e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.272,0.6004578,0.40000004,-1.3256687e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.274,0.6004578,0.40000004,-1.3342466e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.276,0.6004578,0.40000004,-1.3428026e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.278,0.6004578,0.40000004,-1.3513367e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.28,0.6004578,0.40000004,-1.3598488e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.282,0.6004578,0.40000004,-1.368339e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.284,0.6004578,0.40000004,-1.3768071e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.286,0.6004578,0.40000004,-1.3852535e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.288,0.6004578,0.40000004,-1.3936777e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.29,0.6004578,0.40000004,-1.4020801e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.292,0.6004578,0.40000004,-1.4104605e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.294,0.6004578,0.40000004,-1.418819e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.296,0.6004578,0.40000004,-1.4271554e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.298,0.6004578,0.40000004,-1.43547e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.3,0.6004578,0.40000004,-1.4437626e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.302,0.6004578,0.40000004,-1.4520333e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.304,0.6004578,0.40000004,-1.4602819e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.306,0.6004578,0.40000004,-1.4685086e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.308,0.6004578,0.40000004,-1.4767135e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.31,0.6004578,0.40000004,-1.4848963e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.312,0.6004578,0.40000004,-1.4930572e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.314,0.6004578,0.40000004,-1.5011962e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.316,0.6004578,0.40000004,-1.5093132e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.318,0.6004578,0.40000004,-1.5174082e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
0.32,0.6004578,0.40000004,-1.5254813e-09,1.4314197,0.99999994,0.9919935,0.99999994,0.9959841
