Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.406,-0.7759984,0.7028776,-0.018560784,8.41,1.8986434,1.8532501,1.8504337,1.8518314
0.408,-0.78768367,0.70326567,-0.018634655,8.41,1.8982309,1.8525556,1.8495927,1.8510636
0.41,-0.79941535,0.7036873,-0.018708618,8.41,1.8978167,1.8518591,1.8487492,1.8502936
0.412,-0.8111943,0.70414287,-0.018782683,8.41,1.8974011,1.8511604,1.8479034,1.8495215
0.414,-0.82301986,0.7046327,-0.018856855,8.41,1.896984,1.8504598,1.8470553,1.8487473
0.416,-0.8348921,0.70515704,-0.018931147,8.41,1.8965654,1.8497574,1.8462054,1.8479711
0.418,-0.846811,0.70571625,-0.019005567,8.41,1.8961457,1.8490531,1.8453535,1.8471931
0.42,-0.85877675,0.7063107,-0.019080121,8.41,1.8957245,1.8483473,1.8445,1.8464135
0.422,-0.87078935,0.7069406,-0.019154822,8.41,1.8953022,1.84764,1.8436446,1.8456323
0.424,-0.8828489,0.7076064,-0.019229677,8.41,1.8948786,1.8469312,1.842788,1.8448496
0.426,-0.8949555,0.7083083,-0.019304695,8.41,1.894454,1.8462212,1.8419299,1.8440657
0.428,-0.90710926,0.7090466,-0.019379884,8.41,1.8940284,1.8455099,1.8410707,1.8432804
0.43,-0.9193103,0.70982164,-0.019455256,8.41,1.8936018,1.8447976,1.8402103,1.8424942
0.432,-0.9315586,0.71063375,-0.01953082,8.41,1.8931743,1.8440844,1.8393492,1.8417071
0.434,-0.9438544,0.7114832,-0.019606583,8.41,1.8927459,1.8433702,1.8384871,1.8409191
0.436,-0.95619774,0.71237016,-0.019682555,8.41,1.8923167,1.8426554,1.8376247,1.8401306
0.438,-0.96858877,0.7132951,-0.019758746,8.41,1.8918868,1.84194,1.8367616,1.8393415
0.44,-0.9810276,0.71425813,-0.019835168,8.41,1.8914564,1.8412243,1.8358984,1.8385521
0.442,-0.9935143,0.7152596,-0.019911828,8.41,1.8910253,1.8405081,1.8350351,1.8377625
0.444,-1.0060498,0.7162999,-0.019988727,8.41,1.8905938,1.8397919,1.8341718,1.8369727
0.446,-1.0186336,0.7173791,-0.020065878,8.41,1.8901619,1.8390754,1.8333086,1.8361832
0.448,-1.031266,0.7184976,-0.020143295,8.41,1.8897296,1.8383592,1.832446,1.8353938
0.45,-1.0439471,0.7196555,-0.020220986,8.41,1.8892971,1.8376433,1.8315839,1.8346049
0.452,-1.0566771,0.7208532,-0.020298962,8.41,1.8888644,1.8369277,1.8307225,1.8338164
0.454,-1.0694561,0.72209084,-0.020377234,8.41,1.8884317,1.8362125,1.829862,1.8330288
0.456,-1.0822845,0.72336864,-0.020455807,8.41,1.8879989,1.8354981,1.8290027,1.8322421
0.458,-1.0951622,0.7246869,-0.020534696,8.41,1.8875662,1.8347845,1.8281447,1.8314564
0.46,-1.1080894,0.72604585,-0.020613909,8.41,1.8871336,1.8340719,1.8272882,1.8306719
0.462,-1.1210667,0.7274456,-0.020693457,8.41,1.8867013,1.8333604,1.8264334,1.8298889
0.464,-1.1340939,0.7288864,-0.020773347,8.41,1.8862695,1.8326502,1.8255805,1.8291075
0.466,-1.1471714,0.7303685,-0.020853594,8.41,1.8858379,1.8319415,1.8247296,1.8283279
0.468,-1.1602993,0.73189205,-0.020934206,8.41,1.8854069,1.8312343,1.823881,1.8275502
0.47,-1.173478,0.73345727,-0.021015191,8.41,1.8849764,1.830529,1.8230349,1.8267746
0.472,-1.1867076,0.7350643,-0.021096563,8.41,1.8845468,1.8298256,1.8221915,1.8260013
0.474,-1.1999885,0.73671335,-0.02117833,8.41,1.8841178,1.8291245,1.821351,1.8252306
0.476,-1.2133207,0.7384045,-0.021260504,8.41,1.8836899,1.8284254,1.8205137,1.8244625
0.478,-1.2267047,0.740138,-0.021343093,8.41,1.8832629,1.827729,1.8196796,1.8236974
0.48,-1.2401407,0.7419139,-0.021426111,8.41,1.8828369,1.8270351,1.8188492,1.8229355
0.482,-1.2536288,0.74373245,-0.021509565,8.41,1.8824122,1.8263441,1.8180226,1.8221768
0.484,-1.2671696,0.7455937,-0.021593468,8.41,1.8819888,1.8256562,1.8172,1.8214216
0.486,-1.280763,0.7474978,-0.021677831,8.41,1.8815668,1.8249713,1.8163816,1.8206702
0.488,-1.2944096,0.74944484,-0.021762663,8.41,1.8811463,1.8242899,1.8155676,1.8199227
0.49,-1.3081096,0.751435,-0.021847976,8.41,1.8807274,1.8236121,1.8147584,1.8191794
0.492,-1.3218633,0.7534682,-0.021933781,8.41,1.8803103,1.8229381,1.8139542,1.8184404
0.494,-1.3356711,0.75554466,-0.022020089,8.41,1.879895,1.8222681,1.8131552,1.817706
0.496,-1.3495331,0.75766444,-0.022106908,8.41,1.8794817,1.8216022,1.8123616,1.8169764
0.498,-1.3634497,0.75982755,-0.022194251,8.41,1.8790704,1.8209407,1.8115737,1.816252
0.5,-1.3774214,0.76203406,-0.022282131,8.41,1.8786613,1.8202838,1.8107919,1.8155327
0.502,-1.3914484,0.764284,-0.022370556,8.41,1.8782545,1.8196317,1.8100162,1.814819
0.504,-1.405531,0.7665775,-0.022459539,8.41,1.8778502,1.8189846,1.8092469,1.814111
0.506,-1.4196697,0.7689144,-0.02254909,8.41,1.8774483,1.8183427,1.8084844,1.8134089
0.508,-1.4338647,0.77129483,-0.022639219,8.41,1.8770492,1.8177062,1.8077289,1.812713
0.51,-1.4481163,0.77371866,-0.022729913,8.41,1.8766528,1.8170754,1.8069807,1.8120238
0.512,-1.4624249,0.7761859,-0.022821205,8.41,1.8762594,1.8164505,1.8062401,1.8113412
0.514,-1.4767909,0.7786966,-0.022913106,8.41,1.875869,1.8158317,1.8055072,1.8106655
0.516,-1.4912149,0.78125066,-0.023005625,8.41,1.8754818,1.8152193,1.8047825,1.8099971
0.518,-1.505697,0.783848,-0.023098776,8.41,1.875098,1.8146133,1.8040662,1.8093361
0.52,-1.5202379,0.78648853,-0.023192568,8.41,1.8747176,1.8140142,1.8033586,1.8086828
0.522,-1.5348378,0.7891723,-0.023287011,8.41,1.8743407,1.8134221,1.8026597,1.8080375
0.524,-1.5494972,0.791899,-0.023382118,8.41,1.8739675,1.8128372,1.8019704,1.8074006
0.526,-1.5642165,0.7946687,-0.023477899,8.41,1.8735982,1.8122599,1.8012904,1.8067721
0.528,-1.5789962,0.7974811,-0.023574367,8.41,1.873233,1.8116903,1.8006203,1.8061525
0.53,-1.5938367,0.8003362,-0.02367153,8.41,1.8728718,1.8111287,1.7999605,1.8055419
