Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.35,34.334236,0.40000004,-1.7620657e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.352,34.334236,0.40000004,-1.7703818e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.354,34.334236,0.40000004,-1.778675e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.356,34.334236,0.40000004,-1.7869453e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.358,34.334232,0.40000004,-1.7951927e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.36,34.334232,0.40000004,-1.803417e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.362,34.334232,0.40000004,-1.8116184e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.364,34.334232,0.40000004,-1.8197969e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.366,34.334232,0.40000004,-1.8279525e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.368,34.334232,0.40000004,-1.8360851e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.37,34.334232,0.40000004,-1.8441947e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.372,34.334232,0.40000004,-1.8522814e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.374,34.334232,0.40000004,-1.8603452e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.376,34.334232,0.40000004,-1.8683861e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.378,34.334232,0.40000004,-1.876404e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.38,34.334232,0.40000004,-1.8843989e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.382,34.334232,0.40000004,-1.892371e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.384,34.334232,0.40000004,-1.90032e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.386,34.334232,0.40000004,-1.908246e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.388,34.334232,0.40000004,-1.9161492e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.39,34.334232,0.40000004,-1.9240294e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.392,34.334232,0.40000004,-1.9318867e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.394,34.334232,0.40000004,-1.939721e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.396,34.334232,0.40000004,-1.9475324e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.398,34.334232,0.40000004,-1.9553208e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.4,34.334232,0.40000004,-1.9630864e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.402,34.334232,0.40000004,-1.9708288e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.404,34.334232,0.40000004,-1.9785484e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.406,34.334232,0.40000004,-1.9862452e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.408,34.334232,0.40000004,-1.993919e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.41,34.334232,0.40000004,-2.0015698e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.412,34.334232,0.40000004,-2.0091975e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.414,34.334232,0.40000004,-2.0168025e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.416,34.334232,0.40000004,-2.0243844e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.418,34.334232,0.40000004,-2.0319435e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.42,34.334232,0.40000004,-2.0394795e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.422,34.334232,0.40000004,-2.0469926e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.424,34.334232,0.40000004,-2.0544828e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.426,34.334232,0.40000004,-2.06195e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.428,34.334232,0.40000004,-2.0693942e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.43,34.334232,0.40000004,-2.0768156e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.432,34.334232,0.40000004,-2.0842141e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.434,34.334232,0.40000004,-2.0915896e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.436,34.334232,0.40000004,-2.098942e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.438,34.334232,0.40000004,-2.1062716e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.44,34.334232,0.40000004,-2.1135782e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.442,34.334232,0.40000004,-2.120862e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.444,34.334232,0.40000004,-2.1281226e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.446,34.334232,0.40000004,-2.1353603e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.448,34.334232,0.40000004,-2.1425752e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.45,34.334232,0.40000004,-2.1497673e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.452,34.334232,0.40000004,-2.1569362e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.454,34.334232,0.40000004,-2.1640822e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.456,34.334232,0.40000004,-2.1712052e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.458,34.33423,0.40000004,-2.1783053e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.46,34.33423,0.40000004,-2.1853825e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.462,34.33423,0.40000004,-2.192437e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.464,34.33423,0.40000004,-2.1994682e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.466,34.33423,0.40000004,-2.2064766e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.468,34.33423,0.40000004,-2.2134619e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.47,34.33423,0.40000004,-2.2204243e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.472,34.33423,0.40000004,-2.2273638e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.474,34.33423,0.40000004,-2.2342805e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.476,34.33423,0.40000004,-2.2411741e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.478,34.33423,0.40000004,-2.2480449e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.48,34.33423,0.40000004,-2.2548925e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.482,34.33423,0.40000004,-2.2617173e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.484,34.33423,0.40000004,-2.2685192e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.486,34.33423,0.40000004,-2.2752982e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.488,34.33423,0.40000004,-2.282054e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.49,34.33423,0.40000004,-2.2887872e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.492,34.33423,0.40000004,-2.2954973e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.494,34.33423,0.40000004,-2.3021844e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.496,34.33423,0.40000004,-2.3088487e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.498,34.33423,0.40000004,-2.3154898e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.5,34.33423,0.40000004,-2.322108e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
0.502,34.33423,0.40000004,-2.3287035e-09,1.435107,0.99999994,0.9919935,0.99999994,0.99598414
