Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.226,28.845924,0.3999999,-1.0604569e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.228,28.845924,0.3999999,-1.0692319e-08,1.3274751,0.99999976,0.9919933,0.9999997,0.9959839
0.23,28.845924,0.3999999,-1.0779954e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.232,28.845924,0.3999999,-1.0867472e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.234,28.845924,0.3999999,-1.0954874e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.236,28.845924,0.3999999,-1.1042161e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.238,28.845924,0.3999999,-1.1129331e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.24,28.845924,0.3999999,-1.1216386e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.242,28.845924,0.3999999,-1.13033245e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.244,28.84592,0.3999999,-1.1390147e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.246,28.84592,0.3999999,-1.1476853e-08,1.3274752,0.99999976,0.9919933,0.9999997,0.9959839
0.248,28.84592,0.3999999,-1.15634435e-08,1.3274753,0.99999976,0.9919933,0.9999997,0.9959839
0.25,28.84592,0.3999999,-1.1649918e-08,1.3274753,0.99999976,0.9919933,0.9999997,0.9959839
0.252,28.84592,0.3999999,-1.1736277e-08,1.3274753,0.99999976,0.9919933,0.9999997,0.9959839
0.254,28.84592,0.3999999,-1.1822519e-08,1.3274753,0.99999976,0.99199325,0.9999997,0.9959839
0.256,28.84592,0.3999999,-1.1908646e-08,1.3274753,0.99999976,0.99199325,0.9999997,0.9959839
0.258,28.84592,0.3999999,-1.1994656e-08,1.3274753,0.99999976,0.99199325,0.9999997,0.9959839
0.26,28.845919,0.3999999,-1.208055e-08,1.3274753,0.99999976,0.99199325,0.9999997,0.9959839
0.262,28.845919,0.3999999,-1.2166328e-08,1.3274753,0.99999976,0.99199325,0.9999997,0.9959839
0.264,28.845919,0.3999999,-1.2230865e-08,1.3274754,0.99999976,0.9919933,0.9999997,0.9959839
0.266,28.845919,0.3999999,-1.2293784e-08,1.3274754,0.99999976,0.9919933,0.9999997,0.9959839
0.268,28.845919,0.3999999,-1.2356701e-08,1.3274754,0.99999976,0.9919933,0.9999997,0.9959839
0.27,28.845915,0.3999999,-1.241962e-08,1.3274754,0.99999976,0.9919933,0.9999997,0.9959839
0.272,28.845915,0.3999999,-1.2482538e-08,1.3274754,0.99999976,0.9919933,0.9999997,0.9959839
0.274,28.845915,0.3999999,-1.2545456e-08,1.3274754,0.99999976,0.9919933,0.9999997,0.9959839
0.276,28.845915,0.3999999,-1.2608374e-08,1.3274755,0.99999976,0.9919933,0.9999997,0.9959839
0.278,28.845915,0.3999999,-1.26712925e-08,1.3274755,0.99999976,0.9919933,0.9999997,0.9959839
0.28,28.845911,0.3999999,-1.2734211e-08,1.3274755,0.99999976,0.9919933,0.9999997,0.9959839
0.282,28.845911,0.39999986,-1.2797129e-08,1.3274755,0.99999976,0.9919933,0.9999997,0.9959839
0.284,28.845911,0.39999986,-1.2860047e-08,1.3274755,0.99999976,0.9919933,0.9999997,0.9959839
0.286,28.845911,0.39999986,-1.2922965e-08,1.3274757,0.99999976,0.9919933,0.9999997,0.9959839
0.288,28.845911,0.39999986,-1.29858835e-08,1.3274757,0.99999976,0.9919933,0.9999997,0.9959839
0.29,28.845907,0.39999986,-1.3048801e-08,1.3274757,0.99999976,0.9919933,0.9999997,0.9959839
0.292,28.845907,0.39999986,-1.311172e-08,1.3274757,0.99999976,0.9919933,0.9999997,0.9959839
