Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
5.18,4058.947,0.00062532723,0.13810888,0.15815724,2.7387533e-29,0.012824165,0.0064120824
5.182,4063.9202,0.0006250903,0.13819084,0.1581273,1.6217975e-29,0.012824165,0.0064120824
5.184,4068.8965,0.0006248538,0.1382728,0.15809737,7.8251624e-30,0.012824165,0.0064120824
5.186,4073.876,0.0006246176,0.13835476,0.15806748,4.88743e-30,0.012824165,0.0064120824
5.188,4078.858,0.0006243818,0.1384367,0.15803765,2.5643278e-30,0.012824165,0.0064120824
5.19,4083.843,0.0006241463,0.13851866,0.15800785,4.4565662e-18,0.012824165,0.0064120824
5.192,4088.8315,0.0006239112,0.13860059,0.15797807,2.2331684e-30,0.012824165,0.0064120824
5.194,4093.8223,0.0006236764,0.13868253,0.15794834,2.4869022e-18,0.012824165,0.0064120824
5.196,4098.8164,0.000623442,0.13876446,0.15791866,2.4593774e-30,0.012824165,0.0064120824
5.198,4103.8135,0.0006232079,0.13884637,0.15788901,4.72143e-31,0.012824165,0.0064120824
5.2,4108.8135,0.0006229742,0.1389283,0.1578594,1.2490371e-18,0.012824165,0.0064120824
5.202,4113.8164,0.0006227408,0.13901019,0.15782982,3.4518394e-19,0.012824165,0.0064120824
5.204,4118.822,0.00062250777,0.1390921,0.15780029,2.0189612e-30,0.012824165,0.0064120824
5.206,4123.831,0.00062227505,0.139174,0.1577708,7.7822227e-19,0.012824165,0.0064120824
5.208,4128.843,0.0006220427,0.1392559,0.15774134,2.4209507e-18,0.012824165,0.0064120824
5.21,4133.857,0.00062181073,0.13933778,0.15771192,7.628939e-30,0.012824165,0.0064120824
5.212,4138.875,0.00062157906,0.13941966,0.15768254,4.2227603e-18,0.012824165,0.0064120824
5.214,4143.8955,0.00062134775,0.13950153,0.1576532,1.1219815e-30,0.012824165,0.0064120824
5.216,4148.919,0.0006211168,0.1395834,0.1576239,3.698208e-30,0.012824165,0.0064120824
5.218,4153.9453,0.00062088616,0.13966526,0.15759462,1.514369e-30,0.012824165,0.0064120824
5.22,4158.9746,0.0006206559,0.13974711,0.1575654,4.7651e-18,0.012824165,0.0064120824
5.222,4164.0073,0.0006204259,0.13982897,0.15753621,3.624418e-30,0.012824165,0.0064120824
5.224,4169.0425,0.00062019634,0.13991082,0.15750706,6.629067e-30,0.012824165,0.0064120824
5.226,4174.0806,0.00061996706,0.13999265,0.15747795,1.2117837e-29,0.012824165,0.0064120824
5.228,4179.122,0.00061973813,0.14007449,0.15744887,9.99867e-18,0.012824165,0.0064120824
5.23,4184.166,0.00061950955,0.14015631,0.15741983,1.7903719e-17,0.012824165,0.0064120824
5.232,4189.2134,0.0006192813,0.14023814,0.15739083,3.2541232e-29,0.012824165,0.0064120824
5.234,4194.263,0.00061905343,0.14031996,0.15736187,3.732371e-29,0.012824165,0.0064120824
5.236,4199.3164,0.00061882584,0.14040177,0.15733294,2.770037e-29,0.012824165,0.0064120824
5.238,4204.372,0.00061859866,0.14048357,0.15730405,2.7555405e-17,0.012824165,0.0064120824
5.24,4209.431,0.00061837176,0.14056537,0.1572752,3.3463246e-29,0.012824165,0.0064120824
5.242,4214.4927,0.0006181452,0.14064716,0.15724638,1.5808184e-17,0.012824165,0.0064120824
5.244,4219.5576,0.00061791897,0.14072895,0.1572176,4.3857358e-29,0.012824165,0.0064120824
5.246,4224.6255,0.0006176931,0.14081073,0.15718888,2.922485e-29,0.012824165,0.0064120824
5.248,4229.696,0.00061746757,0.1408925,0.15716018,1.8257073e-28,0.012824165,0.0064120824
5.25,4234.7695,0.00061724236,0.14097427,0.15713151,1.8189315e-17,0.012824165,0.0064120824
5.252,4239.8457,0.00061701745,0.14105603,0.15710288,2.4410395e-29,0.012824165,0.0064120824
5.254,4244.9253,0.00061679294,0.1411378,0.15707429,1.4398259e-30,0.012824165,0.0064120824
5.256,4250.008,0.0006165687,0.14121954,0.15704574,1.24948725e-17,0.012824165,0.0064120824
5.258,4255.093,0.0006163448,0.14130129,0.15701723,2.6683035e-28,0.012824165,0.0064120824
5.26,4260.1816,0.0006161213,0.14138304,0.15698874,8.97013e-30,0.012824165,0.0064120824
5.262,4265.273,0.00061589805,0.14146477,0.15696031,1.6352172e-28,0.012824165,0.0064120824
5.264,4270.3667,0.0006156752,0.14154649,0.1569319,2.267751e-29,0.012824165,0.0064120824
5.266,4275.4644,0.0006154526,0.14162822,0.15690354,3.6257915e-29,0.012824165,0.0064120824
5.268,4280.564,0.00061523035,0.14170994,0.15687521,4.9456087e-29,0.012824165,0.0064120824
5.27,4285.667,0.00061500847,0.14179164,0.15684691,7.732732e-30,0.012824165,0.0064120824
5.272,4290.773,0.00061478687,0.14187334,0.15681866,6.9644805e-29,0.012824165,0.0064120824
5.274,4295.882,0.0006145656,0.14195505,0.15679044,1.6258842e-29,0.012824165,0.0064120824
5.276,4300.9937,0.0006143447,0.14203674,0.15676226,1.4416954e-28,0.012824165,0.0064120824
5.278,4306.1084,0.0006141241,0.14211842,0.15673411,9.937622e-18,0.012824165,0.0064120824
5.28,4311.2266,0.00061390386,0.14220011,0.15670599,1.140113e-28,0.012824165,0.0064120824
5.282,4316.347,0.0006136839,0.14228179,0.15667792,4.2415928e-18,0.012824165,0.0064120824
5.284,4321.4707,0.0006134643,0.14236346,0.15664989,2.9283542e-29,0.012824165,0.0064120824
5.286,4326.5967,0.000613245,0.14244512,0.15662187,9.589572e-18,0.012824165,0.0064120824
5.288,4331.7266,0.00061302603,0.14252679,0.15659392,1.0877836e-29,0.012824165,0.0064120824
5.29,4336.859,0.0006128074,0.14260843,0.156566,1.6462404e-28,0.012824165,0.0064120824
5.292,4341.994,0.00061258906,0.14269008,0.1565381,4.645454e-17,0.012824165,0.0064120824
5.294,4347.1323,0.0006123711,0.14277172,0.15651023,1.6838952e-17,0.012824165,0.0064120824
5.296,4352.274,0.0006121534,0.14285336,0.15648241,1.2812703e-28,0.012824165,0.0064120824
5.298,4357.418,0.00061193603,0.142935,0.15645464,4.4930376e-17,0.012824165,0.0064120824
5.3,4362.565,0.000611719,0.14301662,0.15642689,1.26085304e-17,0.012824165,0.0064120824
5.302,4367.7153,0.00061150227,0.14309824,0.15639918,3.6849053e-17,0.012824165,0.0064120824
5.304,4372.868,0.0006112859,0.14317985,0.1563715,2.3069765e-29,0.012824165,0.0064120824
5.306,4378.024,0.0006110698,0.14326145,0.15634386,2.1007296e-29,0.012824165,0.0064120824
5.308,4383.1826,0.00061085407,0.14334306,0.15631627,3.7016903e-29,0.012824165,0.0064120824
5.31,4388.3447,0.0006106386,0.14342465,0.15628868,1.1636801e-29,0.012824165,0.0064120824
5.312,4393.5093,0.0006104235,0.14350624,0.15626116,7.4577544e-30,0.012824165,0.0064120824
5.314,4398.6772,0.00061020866,0.14358783,0.15623367,1.3672464e-29,0.012824165,0.0064120824
5.316,4403.8477,0.00060999417,0.1436694,0.1562062,2.8991747e-17,0.012824165,0.0064120824
5.318,4409.021,0.00060978,0.14375098,0.15617877,1.5513261e-17,0.012824165,0.0064120824
5.32,4414.1978,0.00060956617,0.14383253,0.15615138,4.3080982e-29,0.012824165,0.0064120824
5.322,4419.3774,0.0006093526,0.1439141,0.15612404,3.7393158e-29,0.012824165,0.0064120824
5.324,4424.5596,0.0006091394,0.14399566,0.15609671,9.374316e-30,0.012824165,0.0064120824
5.326,4429.7446,0.00060892646,0.14407721,0.15606943,3.31462e-29,0.012824165,0.0064120824
5.328,4434.933,0.0006087139,0.14415875,0.15604219,2.7719248e-29,0.012824165,0.0064120824
5.33,4440.124,0.00060850155,0.14424029,0.15601498,3.3206594e-30,0.012824165,0.0064120824
5.332,4445.3184,0.0006082896,0.14432181,0.1559878,1.6047036e-17,0.012824165,0.0064120824
5.334,4450.5156,0.0006080779,0.14440334,0.15596065,1.2600362e-17,0.012824165,0.0064120824
5.336,4455.7153,0.00060786656,0.14448486,0.15593354,2.2381475e-18,0.012824165,0.0064120824
5.338,4460.9185,0.00060765556,0.14456637,0.15590648,2.7596996e-30,0.012824165,0.0064120824
5.34,4466.124,0.0006074448,0.14464788,0.15587944,1.845329e-30,0.012824165,0.0064120824
5.342,4471.3325,0.00060723437,0.14472939,0.15585244,1.3083993e-30,0.012824165,0.0064120824
5.344,4476.5444,0.0006070243,0.14481089,0.15582547,6.9372e-31,0.012824165,0.0064120824
5.346,4481.7593,0.00060681446,0.14489238,0.15579854,2.8016152e-19,0.012824165,0.0064120824
5.348,4486.9766,0.00060660497,0.14497386,0.15577164,3.280201e-31,0.012824165,0.0064120824
5.35,4492.1973,0.00060639577,0.14505534,0.15574479,2.3233388e-30,0.012824165,0.0064120824
5.352,4497.4204,0.0006061869,0.14513682,0.15571795,1.3769293e-30,0.012824165,0.0064120824
5.354,4502.647,0.00060597836,0.14521828,0.15569116,2.8940705e-30,0.012824165,0.0064120824
5.356,4507.8765,0.0006057701,0.14529975,0.15566441,2.5012404e-30,0.012824165,0.0064120824
5.358,4513.1084,0.0006055621,0.14538121,0.1556377,2.4231888e-18,0.012824165,0.0064120824
5.36,4518.3438,0.0006053545,0.14546266,0.15561101,8.6629e-18,0.012824165,0.0064120824
5.362,4523.5815,0.0006051471,0.1455441,0.15558435,2.4681757e-30,0.012824165,0.0064120824
5.364,4528.8228,0.00060494005,0.14562555,0.15555774,4.305058e-30,0.012824165,0.0064120824
5.366,4534.067,0.00060473336,0.14570698,0.15553115,2.4596021e-30,0.012824165,0.0064120824
5.368,4539.3135,0.0006045269,0.1457884,0.1555046,1.2587814e-17,0.012824165,0.0064120824
5.37,4544.5635,0.0006043208,0.14586982,0.15547809,1.11160005e-17,0.012824165,0.0064120824
5.372,4549.816,0.00060411496,0.14595124,0.15545161,1.2955198e-29,0.012824165,0.0064120824
5.374,4555.072,0.00060390943,0.14603265,0.15542516,1.9894736e-29,0.012824165,0.0064120824
5.376,4560.3306,0.0006037042,0.14611405,0.15539874,4.967249e-18,0.012824165,0.0064120824
5.378,4565.5923,0.00060349924,0.14619546,0.15537237,4.5232634e-29,0.012824165,0.0064120824
5.38,4570.8564,0.00060329464,0.14627685,0.15534602,1.2467536e-17,0.012824165,0.0064120824
5.382,4576.124,0.0006030903,0.14635824,0.15531972,1.973787e-17,0.012824165,0.0064120824
5.384,4581.394,0.00060288626,0.14643963,0.15529345,5.587421e-29,0.012824165,0.0064120824
5.386,4586.6675,0.0006026825,0.146521,0.15526721,2.1801987e-29,0.012824165,0.0064120824
5.388,4591.944,0.0006024791,0.14660236,0.155241,8.8638404e-29,0.012824165,0.0064120824
5.39,4597.223,0.000602276,0.14668374,0.15521483,5.360426e-29,0.012824165,0.0064120824
5.392,4602.505,0.00060207315,0.1467651,0.15518868,1.6600171e-29,0.012824165,0.0064120824
5.394,4607.79,0.00060187065,0.14684644,0.15516259,2.9861496e-29,0.012824165,0.0064120824
5.396,4613.078,0.0006016684,0.14692779,0.15513651,1.4230886e-29,0.012824165,0.0064120824
5.398,4618.3687,0.00060146645,0.14700913,0.15511048,1.3327719e-17,0.012824165,0.0064120824
5.4,4623.6626,0.0006012648,0.14709046,0.15508448,9.235974e-29,0.012824165,0.0064120824
5.402,4628.9595,0.0006010634,0.1471718,0.1550585,1.4685389e-28,0.012824165,0.0064120824
5.404,4634.259,0.0006008624,0.14725313,0.15503256,2.7164472e-17,0.012824165,0.0064120824
5.406,4639.5615,0.0006006616,0.14733444,0.15500666,2.801209e-29,0.012824165,0.0064120824
5.408,4644.867,0.00060046115,0.14741576,0.1549808,1.5951053e-17,0.012824165,0.0064120824
5.41,4650.1753,0.000600261,0.14749707,0.15495495,2.6867816e-28,0.012824165,0.0064120824
5.412,4655.487,0.00060006115,0.14757837,0.15492916,3.0299347e-29,0.012824165,0.0064120824
5.414,4660.801,0.00059986155,0.14765966,0.1549034,1.1677792e-28,0.012824165,0.0064120824
5.416,4666.118,0.00059966225,0.14774096,0.15487766,3.0158214e-28,0.012824165,0.0064120824
5.418,4671.438,0.00059946324,0.14782225,0.15485196,1.9201084e-29,0.012824165,0.0064120824
5.42,4676.761,0.0005992645,0.14790352,0.15482628,9.8283185e-18,0.012824165,0.0064120824
5.422,4682.087,0.0005990661,0.14798479,0.15480065,5.3924106e-29,0.012824165,0.0064120824
5.424,4687.416,0.00059886795,0.14806606,0.15477505,1.4384116e-28,0.012824165,0.0064120824
5.426,4692.748,0.00059867016,0.14814731,0.15474948,4.9418986e-29,0.012824165,0.0064120824
5.428,4698.0825,0.0005984726,0.14822857,0.15472396,1.8177966e-17,0.012824165,0.0064120824
5.43,4703.4204,0.00059827534,0.14830983,0.15469845,1.671837e-17,0.012824165,0.0064120824
5.432,4708.7607,0.00059807836,0.14839107,0.15467298,2.0515915e-29,0.012824165,0.0064120824
5.434,4714.1045,0.0005978817,0.14847231,0.15464754,8.6087696e-29,0.012824165,0.0064120824
5.436,4719.451,0.0005976853,0.14855355,0.15462215,4.4932484e-29,0.012824165,0.0064120824
5.438,4724.8003,0.0005974891,0.14863478,0.15459678,1.9918648e-17,0.012824165,0.0064120824
5.44,4730.1523,0.0005972933,0.14871599,0.15457144,4.425078e-18,0.012824165,0.0064120824
5.442,4735.508,0.0005970978,0.14879721,0.15454614,1.9826312e-17,0.012824165,0.0064120824
5.444,4740.8657,0.00059690257,0.14887843,0.15452087,9.2879524e-29,0.012824165,0.0064120824
5.446,4746.227,0.00059670757,0.14895962,0.15449563,1.3251545e-28,0.012824165,0.0064120824
5.448,4751.591,0.00059651287,0.14904082,0.15447043,8.8444525e-18,0.012824165,0.0064120824
5.45,4756.9575,0.0005963185,0.14912201,0.15444525,8.187989e-29,0.012824165,0.0064120824
5.452,4762.3276,0.0005961244,0.14920321,0.15442011,2.7352623e-29,0.012824165,0.0064120824
5.454,4767.7,0.00059593056,0.1492844,0.154395,2.750438e-29,0.012824165,0.0064120824
5.456,4773.076,0.000595737,0.14936556,0.15436994,2.815696e-29,0.012824165,0.0064120824
5.458,4778.4546,0.00059554377,0.14944674,0.15434489,4.398131e-18,0.012824165,0.0064120824
5.46,4783.836,0.00059535075,0.14952789,0.15431988,8.663886e-18,0.012824165,0.0064120824
5.462,4789.2207,0.0005951581,0.14960906,0.15429491,4.598449e-30,0.012824165,0.0064120824
5.464,4794.608,0.00059496565,0.14969021,0.15426996,3.2591197e-29,0.012824165,0.0064120824
5.466,4799.998,0.0005947735,0.14977136,0.15424505,5.337521e-29,0.012824165,0.0064120824
5.468,4805.3916,0.00059458165,0.1498525,0.15422016,1.12774844e-29,0.012824165,0.0064120824
5.47,4810.7876,0.0005943901,0.14993364,0.15419532,4.4149007e-18,0.012824165,0.0064120824
5.472,4816.1865,0.00059419876,0.15001477,0.15417051,4.543235e-18,0.012824165,0.0064120824
5.474,4821.5884,0.0005940078,0.1500959,0.15414572,3.1307231e-18,0.012824165,0.0064120824
5.476,4826.993,0.00059381704,0.15017702,0.15412097,7.269858e-30,0.012824165,0.0064120824
5.478,4832.401,0.0005936266,0.15025812,0.15409626,3.1181218e-18,0.012824165,0.0064120824
5.48,4837.812,0.00059343636,0.15033923,0.15407157,1.9932352e-30,0.012824165,0.0064120824
5.482,4843.2256,0.0005932465,0.15042034,0.15404691,1.9427406e-30,0.012824165,0.0064120824
5.484,4848.642,0.00059305684,0.15050143,0.15402229,5.93705e-31,0.012824165,0.0064120824
5.486,4854.062,0.0005928675,0.15058252,0.1539977,3.223701e-19,0.012824165,0.0064120824
5.488,4859.484,0.00059267844,0.15066361,0.15397315,1.7127796e-18,0.012824165,0.0064120824
5.49,4864.909,0.0005924896,0.15074469,0.15394862,5.5118707e-32,0.012824165,0.0064120824
5.492,4870.3374,0.0005923011,0.15082577,0.15392412,1.3808111e-30,0.012824165,0.0064120824
5.494,4875.769,0.00059211283,0.15090683,0.15389965,5.2499736e-31,0.012824165,0.0064120824
5.496,4881.203,0.0005919249,0.1509879,0.15387523,1.4515411e-30,0.012824165,0.0064120824
5.498,4886.64,0.00059173716,0.15106896,0.15385082,7.370578e-30,0.012824165,0.0064120824
5.5,4892.0796,0.00059154973,0.15115,0.15382646,1.3268132e-17,0.012824165,0.0064120824
5.502,4897.523,0.0005913626,0.15123105,0.15380213,1.1232197e-29,0.012824165,0.0064120824
