Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.278,34.403698,0.40000004,-1.3507722e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.28,34.403698,0.40000004,-1.3592502e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.282,34.403698,0.40000004,-1.3677055e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.284,34.403698,0.40000004,-1.3761381e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.286,34.403698,0.40000004,-1.3845481e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.288,34.403698,0.40000004,-1.3929354e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.29,34.403698,0.40000004,-1.4013001e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.292,34.403698,0.40000004,-1.4096422e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.294,34.403698,0.40000004,-1.4179615e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.296,34.403698,0.40000004,-1.4262581e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.298,34.403698,0.40000004,-1.4345322e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.3,34.403698,0.40000004,-1.4427836e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.302,34.403698,0.40000004,-1.4510122e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.304,34.403698,0.40000004,-1.4592183e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.306,34.403698,0.40000004,-1.4674016e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.308,34.403698,0.40000004,-1.4755623e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.31,34.403698,0.40000004,-1.4837004e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.312,34.403698,0.40000004,-1.4918158e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.314,34.403698,0.40000004,-1.4999085e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.316,34.403698,0.40000004,-1.5079785e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.318,34.403698,0.40000004,-1.516026e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.32,34.403698,0.40000004,-1.5240507e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.322,34.403698,0.40000004,-1.5320528e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.324,34.403698,0.40000004,-1.5400322e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.326,34.403698,0.40000004,-1.547989e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.328,34.403694,0.40000004,-1.5559231e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.33,34.403694,0.40000004,-1.5638344e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.332,34.403694,0.40000004,-1.5717232e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.334,34.403694,0.40000004,-1.5795893e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.336,34.403694,0.40000004,-1.5874327e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.338,34.403694,0.40000004,-1.5952535e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.34,34.403694,0.40000004,-1.6030516e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.342,34.403694,0.40000004,-1.610827e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.344,34.403694,0.40000004,-1.6185798e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.346,34.403694,0.40000004,-1.62631e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.348,34.403694,0.40000004,-1.6340175e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.35,34.403694,0.40000004,-1.6417022e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.352,34.403694,0.40000004,-1.6493644e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.354,34.403694,0.40000004,-1.6570039e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.356,34.403694,0.40000004,-1.6646207e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.358,34.403694,0.40000004,-1.6722148e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.36,34.403694,0.40000004,-1.6797863e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.362,34.403694,0.40000004,-1.6873352e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.364,34.403694,0.40000004,-1.6948614e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.366,34.403694,0.40000004,-1.7023648e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.368,34.403694,0.40000004,-1.7098457e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.37,34.403694,0.40000004,-1.7173039e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.372,34.403694,0.40000004,-1.7247394e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.374,34.403694,0.40000004,-1.7321522e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.376,34.403694,0.40000004,-1.7395424e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.378,34.403694,0.40000004,-1.74691e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.38,34.403694,0.40000004,-1.7542549e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.382,34.403694,0.40000004,-1.761577e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.384,34.403694,0.40000004,-1.7688766e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.386,34.403694,0.40000004,-1.7761534e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.388,34.403694,0.40000004,-1.7834076e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.39,34.403694,0.40000004,-1.7906392e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.392,34.403694,0.40000004,-1.7978481e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.394,34.403694,0.40000004,-1.8050343e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.396,34.403694,0.40000004,-1.8121978e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.398,34.403694,0.40000004,-1.8193388e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.4,34.403694,0.40000004,-1.826457e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.402,34.403694,0.40000004,-1.8335526e-09,0.99999994,0.9919935,0.99999994,0.9959841
