Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.23,34.403698,0.40000004,-1.0884744e-09,-2.1986397e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.232,34.403698,0.40000004,-1.0971719e-09,-2.1940107e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.234,34.403698,0.40000004,-1.1058694e-09,-2.1893817e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.236,34.403698,0.40000004,-1.1145668e-09,-2.1847526e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.238,34.403698,0.40000004,-1.1232643e-09,-2.1801236e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.24,34.403698,0.40000004,-1.1319617e-09,-2.1754946e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.242,34.403698,0.40000004,-1.1406591e-09,-2.1708658e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.244,34.403698,0.40000004,-1.1493566e-09,-2.1662368e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.246,34.403698,0.40000004,-1.1580541e-09,-2.1616078e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.248,34.403698,0.40000004,-1.1667515e-09,-2.1569788e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.25,34.403698,0.40000004,-1.175449e-09,-2.1523498e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.252,34.403698,0.40000004,-1.1841464e-09,-2.1477208e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.254,34.403698,0.40000004,-1.1928438e-09,-2.1430917e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.256,34.403698,0.40000004,-1.2015413e-09,-2.138463e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.258,34.403698,0.40000004,-1.2102388e-09,-2.1338339e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.26,34.403698,0.40000004,-1.2189362e-09,-2.1292049e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.262,34.403698,0.40000004,-1.2276337e-09,-2.1245759e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.264,34.403698,0.40000004,-1.2330651e-09,-2.1203068e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.266,34.403698,0.40000004,-1.2382468e-09,-2.1160652e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.268,34.403698,0.40000004,-1.2434286e-09,-2.1118236e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.27,34.403698,0.40000004,-1.2486103e-09,-2.107582e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.272,34.403698,0.40000004,-1.2537922e-09,-2.1033404e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.274,34.403698,0.40000004,-1.2589739e-09,-2.0990989e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.276,34.403698,0.40000004,-1.2641557e-09,-2.0948573e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.278,34.403698,0.40000004,-1.2693375e-09,-2.0906157e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.28,34.403698,0.40000004,-1.2745193e-09,-2.0863741e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.282,34.403694,0.40000004,-1.279701e-09,-2.0821325e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.284,34.403694,0.40000004,-1.2848829e-09,-2.077891e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.286,34.403694,0.40000004,-1.2900646e-09,-2.0736493e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.288,34.403694,0.40000004,-1.2952464e-09,-2.0694078e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.29,34.403694,0.40000004,-1.3004281e-09,-2.0651662e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.292,34.403694,0.40000004,-1.30561e-09,-2.0609246e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.294,34.403694,0.40000004,-1.3107917e-09,-2.056683e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.296,34.403694,0.40000004,-1.3159734e-09,-2.0524414e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.298,34.403694,0.40000004,-1.3211553e-09,-2.0482e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.3,34.403694,0.40000004,-1.326337e-09,-2.0439584e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.302,34.403694,0.40000004,-1.3315188e-09,-2.0397168e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.304,34.403694,0.40000004,-1.3367006e-09,-2.0354753e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.306,34.403694,0.40000004,-1.3418824e-09,-2.0312337e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.308,34.403694,0.40000004,-1.3470641e-09,-2.026992e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.31,34.403694,0.40000004,-1.3522459e-09,-2.0227505e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.312,34.403694,0.40000004,-1.3574277e-09,-2.018509e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.314,34.403694,0.40000004,-1.3626095e-09,-2.0142673e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.316,34.403694,0.40000004,-1.3677912e-09,-2.0100257e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.318,34.403694,0.40000004,-1.3729731e-09,-2.0057842e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.32,34.403694,0.40000004,-1.3781548e-09,-2.0015426e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.322,34.403694,0.40000004,-1.3833366e-09,-1.997301e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.324,34.403694,0.40000004,-1.3885184e-09,-1.9930594e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.326,34.403694,0.40000004,-1.3937002e-09,-1.9888178e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.328,34.403694,0.40000004,-1.3988819e-09,-1.9845762e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.33,34.403694,0.40000004,-1.4040636e-09,-1.9803347e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.332,34.403694,0.40000004,-1.4092455e-09,-1.976093e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.334,34.403694,0.40000004,-1.4144272e-09,-1.9718515e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.336,34.403694,0.40000004,-1.419609e-09,-1.9676099e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.338,34.403694,0.40000004,-1.4247908e-09,-1.9633683e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.34,34.403694,0.40000004,-1.4299726e-09,-1.9591267e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.342,34.403694,0.40000004,-1.4351543e-09,-1.9548851e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.344,34.403694,0.40000004,-1.4403361e-09,-1.9506436e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.346,34.403694,0.40000004,-1.4455179e-09,-1.946402e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.348,34.403694,0.40000004,-1.4506997e-09,-1.9421604e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.35,34.403694,0.40000004,-1.4558814e-09,-1.9379188e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.352,34.403694,0.40000004,-1.4610633e-09,-1.9336772e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.354,34.403694,0.40000004,-1.466245e-09,-1.9294356e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.356,34.403694,0.40000004,-1.4714268e-09,-1.925194e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.358,34.403694,0.40000004,-1.4766086e-09,-1.9209525e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.36,34.403694,0.40000004,-1.4817904e-09,-1.9167109e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.362,34.403694,0.40000004,-1.4869721e-09,-1.9124693e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.364,34.403694,0.40000004,-1.4921538e-09,-1.9082277e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.366,34.403694,0.40000004,-1.4973357e-09,-1.9039861e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.368,34.403694,0.40000004,-1.5025174e-09,-1.8997445e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.37,34.403694,0.40000004,-1.5076992e-09,-1.895503e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.372,34.403694,0.40000004,-1.512881e-09,-1.8912614e-08,0.99999994,0.9919935,0.99999994,0.9959841
0.374,34.403694,0.40000004,-1.5180628e-09,-1.8870198e-08,0.99999994,0.9919935,0.99999994,0.9959841
