Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
2.384,1.6181991,0.0018603761,0.017168721,0.1,0.2727946,8.577607e-33,0.012824165,0.0064120824
2.386,1.6290152,0.0018558574,0.017260164,0.1,0.2724631,5.815757e-32,0.012824165,0.0064120824
2.388,1.6398889,0.0018513545,0.0173516,0.1,0.27213237,4.5944758e-32,0.012824165,0.0064120824
2.39,1.6508199,0.001846867,0.017443027,0.1,0.27180237,6.5277585e-20,0.012824165,0.0064120824
2.392,1.6618084,0.0018423947,0.017534448,0.1,0.27147308,9.440599e-20,0.012824165,0.0064120824
2.394,1.6728543,0.0018379375,0.01762586,0.1,0.2711445,3.1197572e-20,0.012824165,0.0064120824
2.396,1.6839577,0.0018334952,0.017717266,0.1,0.27081662,1.2592342e-19,0.012824165,0.0064120824
2.398,1.6951185,0.0018290675,0.017808666,0.1,0.27048942,1.6157775e-19,0.012824165,0.0064120824
2.4,1.7063367,0.0018246543,0.017900057,0.1,0.2701629,9.3746274e-32,0.012824165,0.0064120824
2.402,1.7176124,0.0018202554,0.017991442,0.1,0.26983705,1.37974e-31,0.012824165,0.0064120824
2.404,1.7289455,0.0018158708,0.01808282,0.1,0.26951185,1.4696521e-20,0.012824165,0.0064120824
2.406,1.740336,0.0018114999,0.01817419,0.1,0.2691873,1.064082e-31,0.012824165,0.0064120824
2.408,1.7517838,0.0018071431,0.018265553,0.1,0.2688634,4.5981087e-32,0.012824165,0.0064120824
2.41,1.7632891,0.0018027999,0.018356908,0.1,0.2685401,1.3073471e-31,0.012824165,0.0064120824
2.412,1.7748518,0.0017984703,0.018448256,0.1,0.26821747,8.8425987e-32,0.012824165,0.0064120824
2.414,1.7864718,0.001794154,0.018539598,0.1,0.26789543,1.3143559e-31,0.012824165,0.0064120824
2.416,1.7981493,0.0017898512,0.018630931,0.1,0.26757398,7.617521e-32,0.012824165,0.0064120824
2.418,1.8098842,0.0017855616,0.018722259,0.1,0.26725316,1.7608513e-32,0.012824165,0.0064120824
2.42,1.8216764,0.0017812849,0.018813578,0.1,0.2669329,1.6941068e-31,0.012824165,0.0064120824
2.422,1.833526,0.0017770213,0.018904889,0.1,0.26661327,1.9046463e-32,0.012824165,0.0064120824
2.424,1.845433,0.0017727707,0.018996194,0.1,0.2662942,1.642445e-20,0.012824165,0.0064120824
2.426,1.8573973,0.0017685329,0.019087493,0.1,0.2659757,6.562972e-33,0.012824165,0.0064120824
2.428,1.8694191,0.0017643084,0.019178784,0.1,0.26565787,1.2660847e-20,0.012824165,0.0064120824
2.43,1.8814981,0.0017600968,0.019270066,0.1,0.2653406,3.9343502e-20,0.012824165,0.0064120824
2.432,1.8936346,0.0017558978,0.019361343,0.1,0.26502392,5.5225886e-20,0.012824165,0.0064120824
2.434,1.9058284,0.0017517116,0.019452611,0.1,0.2647078,4.463548e-20,0.012824165,0.0064120824
2.436,1.9180794,0.0017475381,0.019543873,0.1,0.26439226,3.8386294e-32,0.012824165,0.0064120824
2.438,1.9303879,0.0017433772,0.019635128,0.1,0.2640773,4.352982e-20,0.012824165,0.0064120824
2.44,1.9427537,0.0017392288,0.019726375,0.1,0.26376295,1.1453332e-31,0.012824165,0.0064120824
