Time(s) " gENSAL.delta" " gENSAL.PELEC" " gENSAL.PMECH" " gENSAL.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.57 " 36.6408" " 0.4" " 0.4" " 8.11207e-09" " 1" " 0.991994" " 1" " 0.995984"
0.575 " 36.6408" " 0.4" " 0.4" " 8.1817e-09" " 1" " 0.991994" " 1" " 0.995984"
0.58 " 36.6408" " 0.4" " 0.4" " 8.25133e-09" " 1" " 0.991994" " 1" " 0.995984"
0.585 " 36.6408" " 0.4" " 0.4" " 8.32097e-09" " 1" " 0.991994" " 1" " 0.995984"
0.59 " 36.6408" " 0.4" " 0.4" " 8.3906e-09" " 1" " 0.991994" " 1" " 0.995984"
0.595 " 36.6408" " 0.4" " 0.4" " 8.46023e-09" " 1" " 0.991994" " 1" " 0.995984"
0.6 " 36.6408" " 0.4" " 0.4" " 8.52986e-09" " 1" " 0.991994" " 1" " 0.995984"
0.605 " 36.6408" " 0.4" " 0.4" " 8.59949e-09" " 1" " 0.991994" " 1" " 0.995984"
0.61 " 36.6408" " 0.4" " 0.4" " 8.66912e-09" " 1" " 0.991994" " 1" " 0.995984"
0.615 " 36.6408" " 0.4" " 0.4" " 8.73875e-09" " 1" " 0.991994" " 1" " 0.995984"
0.62 " 36.6408" " 0.4" " 0.4" " 8.80839e-09" " 1" " 0.991994" " 1" " 0.995984"
0.625 " 36.6408" " 0.4" " 0.4" " 8.87802e-09" " 1" " 0.991994" " 1" " 0.995984"
0.63 " 36.6408" " 0.4" " 0.4" " 8.94765e-09" " 1" " 0.991994" " 1" " 0.995984"
0.635 " 36.6408" " 0.4" " 0.4" " 9.01728e-09" " 1" " 0.991994" " 1" " 0.995984"
0.64 " 36.6408" " 0.4" " 0.4" " 9.08691e-09" " 1" " 0.991994" " 1" " 0.995984"
0.645 " 36.6408" " 0.4" " 0.4" " 9.15654e-09" " 1" " 0.991994" " 1" " 0.995984"
0.65 " 36.6408" " 0.4" " 0.4" " 9.22617e-09" " 1" " 0.991994" " 1" " 0.995984"
0.655 " 36.6408" " 0.4" " 0.4" " 9.29581e-09" " 1" " 0.991994" " 1" " 0.995984"
