Time(s) " gENROE.delta" " gENROE.PELEC" " gENROE.PMECH" " gENROE.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.769999 " 34.4037" " 0.4" " 0.4" " 2.72433e-09" " 1" " 0.991993" " 1" " 0.995984"
0.774999 " 34.4037" " 0.4" " 0.4" " 2.74174e-09" " 1" " 0.991993" " 1" " 0.995984"
0.779999 " 34.4037" " 0.4" " 0.4" " 2.75915e-09" " 1" " 0.991993" " 1" " 0.995984"
0.784999 " 34.4037" " 0.4" " 0.4" " 2.77656e-09" " 1" " 0.991993" " 1" " 0.995984"
0.789999 " 34.4037" " 0.4" " 0.4" " 2.79396e-09" " 1" " 0.991993" " 1" " 0.995984"
0.794999 " 34.4037" " 0.4" " 0.4" " 2.81137e-09" " 1" " 0.991993" " 1" " 0.995984"
0.799999 " 34.4037" " 0.4" " 0.4" " 2.82878e-09" " 1" " 0.991993" " 1" " 0.995984"
0.804999 " 34.4037" " 0.4" " 0.4" " 2.84619e-09" " 1" " 0.991993" " 1" " 0.995984"
0.809999 " 34.4037" " 0.4" " 0.4" " 2.86359e-09" " 1" " 0.991993" " 1" " 0.995984"
0.814999 " 34.4037" " 0.4" " 0.4" " 2.881e-09" " 1" " 0.991993" " 1" " 0.995984"
0.819999 " 34.4037" " 0.4" " 0.4" " 2.89841e-09" " 1" " 0.991993" " 1" " 0.995984"
0.824999 " 34.4037" " 0.4" " 0.4" " 2.91582e-09" " 1" " 0.991993" " 1" " 0.995984"
0.829999 " 34.4037" " 0.4" " 0.4" " 2.93323e-09" " 1" " 0.991993" " 1" " 0.995984"
0.834999 " 34.4037" " 0.4" " 0.4" " 2.95063e-09" " 1" " 0.991993" " 1" " 0.995984"
0.839999 " 34.4037" " 0.4" " 0.4" " 2.96804e-09" " 1" " 0.991993" " 1" " 0.995984"
0.844999 " 34.4037" " 0.4" " 0.4" " 2.98545e-09" " 1" " 0.991993" " 1" " 0.995984"
0.849999 " 34.4037" " 0.4" " 0.4" " 3.00286e-09" " 1" " 0.991993" " 1" " 0.995984"
0.854999 " 34.4037" " 0.4" " 0.4" " 3.02027e-09" " 1" " 0.991993" " 1" " 0.995984"
0.859999 " 34.4037" " 0.4" " 0.4" " 3.03767e-09" " 1" " 0.991993" " 1" " 0.995984"
0.864999 " 34.4037" " 0.4" " 0.4" " 3.05508e-09" " 1" " 0.991993" " 1" " 0.995984"
0.869999 " 34.4037" " 0.4" " 0.4" " 3.07249e-09" " 1" " 0.991993" " 1" " 0.995984"
0.874999 " 34.4037" " 0.4" " 0.4" " 3.0899e-09" " 1" " 0.991993" " 1" " 0.995984"
0.879999 " 34.4037" " 0.4" " 0.4" " 3.1073e-09" " 1" " 0.991993" " 1" " 0.995984"
0.884999 " 34.4037" " 0.4" " 0.4" " 3.12471e-09" " 1" " 0.991993" " 1" " 0.995984"
0.889999 " 34.4037" " 0.4" " 0.4" " 3.14212e-09" " 1" " 0.991993" " 1" " 0.995984"
0.894999 " 34.4037" " 0.4" " 0.4" " 3.15953e-09" " 1" " 0.991993" " 1" " 0.995984"
0.899999 " 34.4037" " 0.4" " 0.4" " 3.17694e-09" " 1" " 0.991993" " 1" " 0.995984"
0.904999 " 34.4037" " 0.4" " 0.4" " 3.19434e-09" " 1" " 0.991993" " 1" " 0.995984"
0.909999 " 34.4037" " 0.4" " 0.4" " 3.21175e-09" " 1" " 0.991993" " 1" " 0.995984"
0.914999 " 34.4037" " 0.4" " 0.4" " 3.22916e-09" " 1" " 0.991993" " 1" " 0.995984"
0.919999 " 34.4037" " 0.4" " 0.4" " 3.24657e-09" " 1" " 0.991993" " 1" " 0.995984"
0.924999 " 34.4037" " 0.4" " 0.4" " 3.26398e-09" " 1" " 0.991993" " 1" " 0.995984"
0.929999 " 34.4037" " 0.4" " 0.4" " 3.28138e-09" " 1" " 0.991993" " 1" " 0.995984"
