Time,gENSAE.delta,gENSAE.PELEC,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.442,0.6395024,0.40000004,-1.8417106e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.444,0.6395024,0.40000004,-1.8477819e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.446,0.6395024,0.40000004,-1.853831e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.448,0.6395024,0.40000004,-1.8598577e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.45,0.6395024,0.40000004,-1.8658621e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.452,0.6395024,0.40000004,-1.8718442e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.454,0.6395024,0.40000004,-1.8778041e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.456,0.6395024,0.40000004,-1.8837416e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.458,0.6395024,0.40000004,-1.8896567e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.46,0.6395024,0.40000004,-1.8955495e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.462,0.6395024,0.40000004,-1.9014201e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.464,0.6395024,0.40000004,-1.9072683e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.466,0.6395024,0.40000004,-1.9130943e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.468,0.6395024,0.40000004,-1.918898e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.47,0.6395024,0.40000004,-1.9246793e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.472,0.6395024,0.40000004,-1.9304383e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.474,0.6395024,0.40000004,-1.936175e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.476,0.63950235,0.40000004,-1.9418895e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.478,0.63950235,0.40000004,-1.9475817e-09,0.99999994,0.9919935,0.9999999,0.9959841
0.48,0.63950235,0.40000004,-1.9532513e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.482,0.63950235,0.40000004,-1.9588988e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.484,0.63950235,0.40000004,-1.964524e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.486,0.63950235,0.40000004,-1.970127e-09,0.99999994,0.9919934,0.9999999,0.9959841
0.488,0.63950235,0.40000004,-1.9757074e-09,0.99999994,0.9919934,0.9999999,0.9959841
