Time,gENCLS2.delta,gENCLS2.P,gENCLS2.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.306,8.571379,0.39999998,-1.0442684e-09,1.0,0.99199355,1.0,0.9959842
0.308,8.571379,0.39999998,-1.0403696e-09,1.0,0.99199355,1.0,0.9959842
0.31,8.571379,0.39999998,-1.0363166e-09,1.0,0.99199355,1.0,0.9959842
0.312,8.571379,0.39999998,-1.03211e-09,1.0,0.99199355,1.0,0.9959842
0.314,8.571379,0.39999998,-1.0277503e-09,1.0,0.99199355,1.0,0.9959842
0.316,8.571379,0.39999998,-1.0232384e-09,1.0,0.99199355,1.0,0.9959842
0.318,8.571379,0.39999998,-1.0185747e-09,1.0,0.99199355,1.0,0.9959842
0.32,8.571379,0.39999998,-1.0137601e-09,1.0,0.99199355,1.0,0.9959842
0.322,8.571379,0.39999998,-1.0087952e-09,1.0,0.99199355,1.0,0.9959842
0.324,8.571379,0.39999998,-1.0036808e-09,1.0,0.99199355,1.0,0.9959842
0.326,8.571379,0.39999998,-9.984176e-10,1.0,0.99199355,1.0,0.9959842
0.328,8.571379,0.39999998,-9.930063e-10,1.0,0.99199355,1.0,0.9959842
0.33,8.571379,0.39999998,-9.874479e-10,1.0,0.99199355,1.0,0.9959842
0.332,8.571379,0.39999998,-9.817432e-10,1.0,0.99199355,1.0,0.9959842
0.334,8.571379,0.39999998,-9.758929e-10,1.0,0.99199355,1.0,0.9959842
0.336,8.571379,0.39999998,-9.698979e-10,1.0,0.99199355,1.0,0.9959842
0.338,8.571379,0.39999998,-9.637593e-10,1.0,0.99199355,1.0,0.9959842
0.34,8.571379,0.39999998,-9.574777e-10,1.0,0.99199355,1.0,0.9959842
0.342,8.571378,0.39999995,-9.510542e-10,1.0,0.99199355,1.0,0.9959842
0.344,8.571378,0.39999995,-9.444897e-10,1.0,0.99199355,1.0,0.9959842
0.346,8.571378,0.39999995,-9.377853e-10,1.0,0.99199355,1.0,0.9959842
0.348,8.571378,0.39999995,-9.3094177e-10,1.0,0.99199355,1.0,0.9959842
0.35,8.571378,0.39999995,-9.239603e-10,1.0,0.99199355,1.0,0.9959842
0.352,8.571378,0.39999995,-9.168419e-10,1.0,0.99199355,1.0,0.9959842
0.354,8.571378,0.39999995,-9.0958757e-10,1.0,0.99199355,1.0,0.9959842
0.356,8.571378,0.39999995,-9.0219837e-10,1.0,0.99199355,1.0,0.9959842
0.358,8.571378,0.39999995,-8.946755e-10,1.0,0.99199355,1.0,0.9959842
0.36,8.571378,0.39999995,-8.8702e-10,1.0,0.99199355,1.0,0.9959842
0.362,8.571378,0.39999995,-8.79233e-10,1.0,0.99199355,1.0,0.9959842
0.364,8.571378,0.39999995,-8.713157e-10,1.0,0.99199355,1.0,0.9959842
0.366,8.571378,0.39999995,-8.632692e-10,1.0,0.99199355,1.0,0.9959842
0.368,8.571378,0.39999995,-8.550948e-10,1.0,0.99199355,1.0,0.9959842
0.37,8.571378,0.39999995,-8.467936e-10,1.0,0.99199355,1.0,0.9959842
0.372,8.571378,0.39999995,-8.383669e-10,1.0,0.99199355,1.0,0.9959842
0.374,8.571378,0.39999995,-8.298159e-10,1.0,0.99199355,1.0,0.9959842
0.376,8.571378,0.39999995,-8.2114193e-10,1.0,0.99199355,1.0,0.9959842
