Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
3.5,0.103203,1.0014771,0.9980188,1.0041469,1.006211,1.0010828
3.52,0.1030737,1.0016184,0.99805075,1.0041623,1.0062281,1.0011063
3.54,0.1029372,1.001662,0.9980428,1.0041516,1.006212,1.001097
3.56,0.1027948,1.0016162,0.99800056,1.0041188,1.0061677,1.0010594
3.58,0.10264761,1.0014894,0.9979288,1.0040671,1.006099,1.0009977
3.6,0.10249646,1.0012878,0.99783045,1.0039984,1.0060085,1.0009142
3.62,0.10234174,1.0010163,0.9977069,1.0039133,1.0058972,1.00081
3.64,0.102183565,1.0006778,0.997558,1.0038114,1.0057646,1.0006846
3.66,0.10202253,1.0002797,0.99738586,1.0036936,1.0056124,1.0005397
3.68,0.101858236,0.9998218,0.99718755,1.0035577,1.0054379,1.0003724
3.7,0.1016905,0.9993058,0.99696136,1.003402,1.0052391,1.0001811
3.72,0.101519786,0.9987388,0.9967088,1.003227,1.0050174,0.9999668
3.74,0.10134577,0.9981209,0.9964271,1.0030308,1.0047702,0.99972695
3.76,0.10116864,0.99745613,0.9961162,1.0028127,1.0044972,0.99946135
3.78,0.10098899,0.996752,0.9957786,1.0025746,1.0042003,0.99917203
3.8,0.10080723,0.9960132,0.9954152,1.002317,1.0038806,0.9988597
3.82,0.10062412,0.9952475,0.9950293,1.0020419,1.0035408,0.9985272
3.84,0.10044064,0.99446416,0.9946255,1.0017531,1.0031847,0.9981786
3.86,0.10025794,0.99367326,0.9942093,1.0014542,1.0028174,0.9978186
3.88,0.10007714,0.9928847,0.99378645,1.0011497,1.0024438,0.99745214
3.9,0.09989952,0.99210984,0.9933638,1.0008442,1.0020701,0.9970854
3.92,0.09972658,0.99136156,0.99294955,1.0005442,1.0017033,0.9967254
3.94,0.09955931,0.9906487,0.9925494,1.0002536,1.0013485,0.9963773
3.96,0.099399045,0.9899833,0.99217147,0.9999785,1.0010129,0.99604803
3.98,0.09924697,0.9893769,0.99182326,0.99972427,1.0007031,0.9957442
4.0,0.09910378,0.98883575,0.99150926,0.99949443,1.0004231,0.99547
4.02,0.09897034,0.9883694,0.9912361,0.99929374,1.0001786,0.995231
4.04,0.098847255,0.987985,0.99100864,0.9991258,0.99997395,0.9950314
4.06,0.09873475,0.9876862,0.9908297,0.9989926,0.9998116,0.9948739
4.08,0.09863304,0.9874776,0.9907025,0.99889666,0.9996943,0.99476117
4.1,0.098542094,0.9873615,0.99062884,0.9988391,0.9996237,0.99469477
4.12,0.098461665,0.9873386,0.99060935,0.9988205,0.99960035,0.9946753
4.14,0.09839134,0.98740846,0.9906439,0.99884063,0.999624,0.9947026
